"ICES_ACCREU","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AUNZ",-0.3292627638224688,-0.45900426044444,-0.4705105074196636,-0.4815918193061264,-0.4930792891490565,-0.5057291886312543,-0.5196043014624729,-0.5314158410446912,-0.5427991046009217,-0.5569066106052567,-0.5742063927231422,-0.5942432982704471,-0.6177461624571112,-0.6422096496888074,-0.6693758539232708,-0.6972349676965361,-0.7281459920404965
"Brazil",-0.11453659470405109,-0.19666797403872227,-0.2018526142506305,-0.20717507677143754,-0.21333350571010046,-0.22198276385598792,-0.23307728043707732,-0.24316095989039832,-0.25360609401575696,-0.2643988203571368,-0.2763626176157663,-0.2888032254597328,-0.30247447197011557,-0.3183749147353754,-0.3365806596424714,-0.35763044698156055,-0.38124665656824597
"Canada",-0.06130995659200389,-0.10028442605473087,-0.10310926968496448,-0.10604468425191582,-0.10917503172761522,-0.11277566179845877,-0.11663343434666906,-0.1207577546653571,-0.12503845836965288,-0.1297390937727516,-0.13489152673185067,-0.1400424394345845,-0.14548369409062012,-0.15157720110696715,-0.15853349439605147,-0.16517047706396948,-0.17223347411614576
"China",-0.019024028274539084,-0.01697624716102686,-0.017303172256122323,-0.017609485601610686,-0.01799928875094725,-0.018405374755170456,-0.018918087751873536,-0.0194016776422945,-0.01994188741933911,-0.020606475731421714,-0.02141111853503075,-0.022284455546539572,-0.0232376484167629,-0.02430175142421609,-0.025465126684220962,-0.026836185332168583,-0.028331550168692043
"FSU",-0.02787277480442718,-0.028225852636842852,-0.028864411869800044,-0.02960013216239954,-0.030377327579456104,-0.031372888376668406,-0.03248766406704906,-0.0336324192298898,-0.034804082446582285,-0.03601028872993739,-0.03727909975506094,-0.038729590320973895,-0.04035885187049226,-0.042326539807779895,-0.044597915393551624,-0.047362813365381395,-0.0505513457779716
"India",-0.029131464868492607,-0.033934646279853986,-0.034494241965232764,-0.035107855031002444,-0.03582660825622863,-0.036693738436022194,-0.0377473326140243,-0.03865704794658864,-0.03962971183024688,-0.040836061178206595,-0.04237015180582615,-0.04424661553922293,-0.04652549967019137,-0.04890376633374105,-0.05153567831717165,-0.05481056773747328,-0.05870699223866627
"Indonesia",-0.07205963401453186,-0.045080368520344916,-0.046377957279519766,-0.04776019646206553,-0.0493798169659887,-0.05125572081149388,-0.05354124658231152,-0.05577451083638163,-0.05822285372872882,-0.06141745258498865,-0.0653747727557219,-0.0699452943593748,-0.07518125442612655,-0.08115625613074329,-0.087868445822048,-0.09565319972946185,-0.10441894830824916
"JPNKOR",-0.06331675784772006,-0.09207217076835361,-0.09440898393598962,-0.09690829745505614,-0.09984347241356328,-0.10321007307912966,-0.10717775838489096,-0.11075308778396575,-0.11427409974053004,-0.11851879725907066,-0.12353843509834705,-0.12957806634421587,-0.13655883191986407,-0.14430442732926707,-0.15283121525905274,-0.16312898735396653,-0.1749230201958607
"LACA",-0.06386946028393847,-0.08874333795388933,-0.09132622024224935,-0.094198822763003065,-0.09752516579214499,-0.10197367678357327,-0.10745575479663705,-0.1132216850679102,-0.11955441337785366,-0.12613864109122241,-0.13322133665940594,-0.14074421657477298,-0.1489037663180537,-0.1583004966280943,-0.16889478676851422,-0.18205127275293664,-0.19730419341186245
"MENA",-0.014894732681280942,-0.004688419484544237,-0.004772355938653661,-0.0048674158933392775,-0.004978457015347715,-0.0051276117489673645,-0.005312047570327216,-0.0055307710252860964,-0.00578900020201667,-0.0060321528107532,-0.00628544213803206,-0.006616817003779474,-0.007019795004048479,-0.007464045571559108,-0.007954195349324511,-0.008663065915470725,-0.009537664402636814
"Mexico",-0.03275796484122351,-0.03865577843472634,-0.04001004248953555,-0.04156589899442231,-0.04337520092932978,-0.04533971842236584,-0.04755607278624785,-0.049438538831947376,-0.05128174778575856,-0.05370408698336382,-0.05661989168028736,-0.059618325120858184,-0.06274739520890638,-0.06653573584205486,-0.07088800338804768,-0.07588554438265893,-0.08140797589613058
"REastAsia",-0.12088131180508777,-0.1375593062164171,-0.13858906805100935,-0.13970202228479334,-0.14139745256347425,-0.14365156396454193,-0.146817861582893,-0.14980510583644246,-0.1531644911914043,-0.15772225591321742,-0.1635271096916302,-0.17051402737703336,-0.17876865589836477,-0.1893257765438361,-0.20191193169810662,-0.2175759611609096,-0.2357825962797655
"REurope",-0.23451787795553125,-0.23629265030851165,-0.2431393840736873,-0.25015025406031066,-0.25752205886780954,-0.2651274683540983,-0.27304465997661787,-0.28293736876314757,-0.29416208669404975,-0.3051613319741908,-0.3164224600819776,-0.32775519479527615,-0.33966525876305553,-0.35312606240770483,-0.368095818718428,-0.38241821147688704,-0.39689785045139425
"RSouthAsia",-0.14442002232339934,-0.04146531703069778,-0.04192194699852436,-0.04240020574154402,-0.04302046615107802,-0.04369790586481459,-0.04453513950936072,-0.04536723089472172,-0.046378684260106606,-0.047660754180256504,-0.04928061758662228,-0.05112940850453551,-0.05325342746336226,-0.05566089032409405,-0.058380312169281634,-0.06169809694596129,-0.06554120522318518
"SAfrica",-0.0019277931533445702,-0.003464821692500397,-0.0035644277849744554,-0.0036657386826677296,-0.0037785667649115062,-0.003947561066119931,-0.004160572748268532,-0.004405421258169007,-0.004679675300378605,-0.005018031840409165,-0.005413495632589083,-0.005833268257293689,-0.006291583163409165,-0.0067535651077421655,-0.007237977317520183,-0.007935733300146186,-0.008808972185070374
"SSA",-0.04851239454713996,-0.04923197834852955,-0.05001330954104155,-0.05101600066623746,-0.05207547980587979,-0.05348601452705992,-0.055111124845996784,-0.056651209689762005,-0.058271195534065345,-0.0601498543191914,-0.06229779774179489,-0.06466769461400679,-0.06731376244766274,-0.07083644484696672,-0.07508009950524253,-0.07941719856890961,-0.08399634831089964
"USA",-0.060764510338851,-0.07079239171985385,-0.07393557051582622,-0.07742195159574639,-0.08116511484839162,-0.08547369574357644,-0.0901881446184416,-0.09533489823940755,-0.10069530909903035,-0.10702651141577535,-0.11397663871004493,-0.12159502526779553,-0.12981559202340787,-0.13907033308602212,-0.14924978369567077,-0.1611310575397984,-0.17439763625443083
"bel",-0.04146217206592029,-0.00509041225139617,-0.0051697125239225095,-0.005250023362068923,-0.00533430490938791,-0.005432380824210714,-0.0055438402624563565,-0.005660773388405094,-0.0057867445096615455,-0.005904185446803378,-0.006023882198946673,-0.006145178734762169,-0.0062749617953605785,-0.006418621793446988,-0.006581931782312367,-0.006740907136082441,-0.006912584314899828
"bgr",-0.004192059086260969,-0.00182186191564071,-0.0018196773903134122,-0.0018293006251890453,-0.0018440636177841085,-0.0018758274324515156,-0.0019176330414705234,-0.0019867910789117538,-0.002074854043765395,-0.0022338953556855223,-0.002447590122578447,-0.002763371026182071,-0.0031596895204821784,-0.0035471300636413794,-0.003936071609078606,-0.004102018770102411,-0.004113018296236781
"cyp",-0.01625521358719073,-0.00555726297364334,-0.005650038808013846,-0.005677283791138965,-0.005680015325304488,-0.005680658170914565,-0.005687718832758648,-0.005781573581931099,-0.005942274382642054,-0.0060886906372958904,-0.006254912061065543,-0.006540595522375181,-0.00693886468811078,-0.00862765212605865,-0.01125748647945457,-0.01682969119325417,-0.024593640378223203
"deu",-0.05541823166997917,-0.015680116267036137,-0.015992461574854122,-0.016287813847049026,-0.01658810285443124,-0.016916603634631322,-0.01728259180696634,-0.017708860401965953,-0.01819686843216317,-0.018681745274995443,-0.01918070157957974,-0.019755892845851886,-0.020399360486988982,-0.02113756986209525,-0.021975348538150197,-0.022855209334238236,-0.023810754206676776
"dnk",-0.4009092541077508,-0.47716271778789343,-0.4902390238342269,-0.503591423904548,-0.5173634023413087,-0.5347614941710876,-0.5544547449398585,-0.5749921486536635,-0.5955954071689362,-0.6168563072525113,-0.6387556198539812,-0.660733868500829,-0.6833070796144369,-0.7083788957977899,-0.7357440827278849,-0.7645376517634972,-0.7952387754274315
"esp",-0.01995044117486522,-0.009074269950792857,-0.00936516482568095,-0.009726664548737052,-0.010129082895904418,-0.010787179678639625,-0.011620163950687434,-0.012685692329306164,-0.013949442568739201,-0.015359220851485222,-0.016922316218281885,-0.018779039907879103,-0.020875141890863702,-0.023131221896355303,-0.02554031210936225,-0.0285491262590698,-0.03206996411185825
"est",-0.07435804726813044,-0.13050332285210464,-0.1347662908125269,-0.13852895879334914,-0.14190446033459647,-0.14666251801243035,-0.1521624301663138,-0.1579378042872115,-0.16404564565773994,-0.17042751594038563,-0.17719394220164775,-0.18458818181570358,-0.19249166728230183,-0.20072221868854268,-0.20930248188435474,-0.22385272354099595,-0.24268680677506094
"fin",-0.16310572984322702,-0.19022780306493514,-0.18924652666232333,-0.18739616300609274,-0.18532060685778617,-0.18452974099247843,-0.18458927271987058,-0.1853610442860032,-0.18645026946044752,-0.1875533324612877,-0.1887294746904411,-0.1896169428925898,-0.1904674171580134,-0.19240185886439942,-0.19523037740555305,-0.19729527764811294,-0.19916461660876017
"fra",-0.050197021741493764,-0.015544115875087972,-0.015826023989817806,-0.01614137921793768,-0.016485528709453412,-0.016914106108312232,-0.01741359087645833,-0.017961265337274046,-0.018551765813057397,-0.019181863301698243,-0.01984757261795922,-0.020637715400828593,-0.02152239015149604,-0.022461546891328066,-0.02347170627365891,-0.024503938153996874,-0.025606989495730037
"gbr",-0.06260815649249407,-0.058519905830489716,-0.05902311842193031,-0.060100855496392214,-0.06158687737759516,-0.06296994911120235,-0.0642928192310932,-0.06590724684555349,-0.06774883406305277,-0.069802246499561793,-0.07206623250320954,-0.07443918190938037,-0.07693838620000948,-0.07959319943789955,-0.08244448630709833,-0.0854316775188324,-0.08862087855995293
"grc",-0.05640684172988353,-0.018304704019056484,-0.01880026555575176,-0.019544361489198803,-0.02044879575082703,-0.02180935739807266,-0.023506657657501595,-0.025390660686908095,-0.027468021017496014,-0.02976555579355944,-0.03229645117052149,-0.03504048689101369,-0.03800229504729025,-0.041971743126711925,-0.04671428199376493,-0.05371321532877671,-0.06246696332353752
"hrv",-0.03627023921805028,-0.0485182203350476,-0.04966958092057494,-0.051069273530457426,-0.0526763426633603,-0.054896532913573104,-0.057583578341047215,-0.06032596312869343,-0.06315976990700634,-0.06714251943278349,-0.07208662360900231,-0.07779206712915654,-0.0842632107561303,-0.09046813741652171,-0.0966840049375417,-0.10204548614375364,-0.10693379554173044
"irl",-0.14567249668294702,-0.1978054944007157,-0.2006676518962136,-0.20391266041706047,-0.20751237568159553,-0.21170842530923162,-0.21641432763429558,-0.2216390271899238,-0.22766213426547166,-0.23456729354530692,-0.24258451657865887,-0.25109240152598744,-0.2603178455863886,-0.2700338263778912,-0.2804529129409872,-0.2907655116745622,-0.30152348380730887
"ita",-0.017792921804804518,-0.007227582806990096,-0.0073934979882728236,-0.007617197544285137,-0.007883159636634662,-0.008264542016078735,-0.008739252236888984,-0.009237187868016417,-0.009775630256025902,-0.010266270150172119,-0.010746799896310666,-0.011371450697728047,-0.012106466660188886,-0.013205595996801378,-0.01457412745112796,-0.016704605288686558,-0.019438742788835395
"ltu",-0.029538584701505055,-0.017820361520748396,-0.018652037202626648,-0.019464703406257833,-0.02031828495162591,-0.02136649121894374,-0.02257018355329432,-0.023840126852148202,-0.02520253661909555,-0.026694685189943,-0.028320114795266083,-0.030011320971057298,-0.031729995485829665,-0.033446817576454624,-0.03510452536787945,-0.03679039793607064,-0.03841797844018613
"lva",-0.06251904516989537,-0.06636442601387627,-0.0685787289869344,-0.0707971443254074,-0.0729979923925761,-0.07583615320858605,-0.07913589840766733,-0.08285342895717474,-0.08695289416918994,-0.09131224988617737,-0.09602818797603829,-0.10104448135764832,-0.1064447798294843,-0.11266453409372046,-0.11950176749940811,-0.12633673550057622,-0.13308038808177436
"mlt",-0.0017558916768689592,-0.002644304952192922,-0.0026376118209769928,-0.002629549017230115,-0.002629846084567511,-0.0026269408498591496,-0.0026266358700843817,-0.0026258452112348785,-0.0026258338276075044,-0.002622523998130344,-0.0026225013590730484,-0.002619860886177161,-0.002622917151406945,-0.002649627239059704,-0.002697217932556839,-0.004698183741780326,-0.008125214911103296
"nld",-805089650.6810288,-38691236175424.19,-42278499179564.52,-45309299298146.05,-47885367342332.195,-49806891352574.93,-51115306014868.89,-52338786898981,-53443785609939.93,-54774717114994.78,-56193295476891.32,-57506960866029.04,-58708034547773.39,-59503802970762.984,-59930308178665.86,-59488534297476.33,-58442319023205.945
"pol",-0.020117695345356346,-0.002100425087581126,-0.002178165435384738,-0.0022458970671324074,-0.0023158707686876667,-0.0023939838828868076,-0.0024802713691096656,-0.0025581296945853538,-0.0026325745881017326,-0.0026997402675199567,-0.002769265811930488,-0.0028414161550416317,-0.002919755688468584,-0.0030063796905288598,-0.0030956701724926816,-0.003197506312024867,-0.0033040220897340156
"prt",-0.020884780320173935,-0.028988785786365767,-0.029644209990509207,-0.030389367129335376,-0.03119975644229056,-0.03212065702521416,-0.03314984440401236,-0.03414471207726644,-0.0351753609703076,-0.036364390401044666,-0.037740196420543715,-0.03937623059291351,-0.04126062669260744,-0.04267821123794535,-0.043814243494288974,-0.04642832010810505,-0.05015234432695914
"rou",-0.012297356901169731,-0.02072660280355576,-0.021116531648113224,-0.021514890311791213,-0.02195103171929169,-0.0224773592368277,-0.023122464629110606,-0.023790051361294307,-0.02454831760226872,-0.025636753801727696,-0.02704718855383037,-0.028474644281739625,-0.029925675533415408,-0.030874859307383762,-0.0313638341848943,-0.03232649188336101,-0.033558674665068455
"svn",-0.003754795284671708,-7.708158102470719e-4,-7.724210939308307e-4,-7.741979394793042e-4,-7.765616756305604e-4,-7.799314980627692e-4,-7.839848549018313e-4,-7.884858914453119e-4,-7.939182528504674e-4,-8.012327593842627e-4,-8.10941115980679e-4,-8.234184162736469e-4,-8.387563690592792e-4,-8.589674544867698e-4,-8.837985811971372e-4,-9.119455815831401e-4,-9.438995060007116e-4
"swe",-0.07958450219684998,-0.0918186411349331,-0.09171895480263315,-0.09132016428027301,-0.09085592032750389,-0.09140961805674808,-0.09246301655764233,-0.0941539651097667,-0.0961935602519115,-0.09843909212227109,-0.1009524964364017,-0.10342288041556014,-0.10596698699353313,-0.10907092248114703,-0.1127167013530439,-0.11616973685224519,-0.11978862517106892
