"ICES_ACCREU","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AUNZ",-0.6089646998550968,-1.041357896162698,-1.0658327906347131,-1.0894191404795195,-1.1140007410215036,-1.1335536471476004,-1.1515444655055274,-1.1657973690013423,-1.1797809562454131,-1.1976719012659731,-1.2213164171007374,-1.2397421638648876,-1.2584838996700487,-1.2753721892184045,-1.2950359891941599,-1.3165268650045858,-1.3437808863410172
"Brazil",-0.11237849349579054,-0.19200414444823233,-0.1968605727256767,-0.20156693515265278,-0.20690964188571082,-0.21322668456178473,-0.22096563306207573,-0.2274581466825465,-0.234054075888801,-0.24135538158183145,-0.2499520550484191,-0.2574919530610065,-0.26501959583455914,-0.27182979132955865,-0.27859675856350963,-0.28527283680063187,-0.2920852495881143
"Canada",-0.07442149561521783,-0.1275744558183689,-0.13076339552088312,-0.1339962726009114,-0.13742788816869522,-0.14110867358664292,-0.1449220825711195,-0.1485562246784311,-0.1520975557532167,-0.15561737964870925,-0.1593758322973815,-0.16268311342544362,-0.1660570410854989,-0.1691359581758478,-0.1725092978192455,-0.17553789821301846,-0.17897766355324807
"China",-0.05688995847918932,-0.0963651478391947,-0.09809254012939084,-0.09950802532350256,-0.10125641463567536,-0.10298314618382154,-0.10521144132277227,-0.10705004902468174,-0.10900564468157015,-0.11135943924477365,-0.11422110750949344,-0.11685926571145533,-0.11940161490298085,-0.12201404964137241,-0.12465028726021954,-0.12738180647325903,-0.1298988617820629
"FSU",-0.07492131917536948,-0.12729074105447546,-0.12950111470532155,-0.13178234907390562,-0.13399577253860873,-0.13667694344156045,-0.13954431828577807,-0.14220357508933912,-0.1447397667496353,-0.14748688674351973,-0.15052089298913662,-0.15298753304681112,-0.1552457705771837,-0.15747703660476953,-0.1598838174599826,-0.16254890641482778,-0.16556792266664289
"India",-0.06869088799971168,-0.11643780376034973,-0.1186058761955211,-0.12084629618367426,-0.12337851182202542,-0.12597834788087292,-0.1289519701382913,-0.13146550500349186,-0.13421207663188994,-0.13695539913533006,-0.14027367893894027,-0.14332608462102048,-0.1467174233439672,-0.1500215630041657,-0.15376169526970518,-0.15749159991065298,-0.16158111302060352
"Indonesia",-0.27155542176182657,-0.4627500563471387,-0.47355673481561666,-0.4837608899811441,-0.49546195893920286,-0.508759576792972,-0.5254660133465539,-0.5392392910696597,-0.5533479484782555,-0.5712519596387744,-0.5938500320590068,-0.6124662093503486,-0.6298430487948647,-0.6454686799634901,-0.6607739622877862,-0.6806726999791679,-0.7045341987746423
"JPNKOR",-0.1010058276178949,-0.1704328867529803,-0.1727327967739556,-0.17473415461063402,-0.17707023021330537,-0.17968258849865304,-0.18293856976525635,-0.18576068889302189,-0.18857919654450273,-0.1916501231576606,-0.19520542944030383,-0.19850928272401314,-0.20175691781504357,-0.20554921194051445,-0.20983933209982597,-0.2143099368490664,-0.21888120954379753
"LACA",-0.11727355123771765,-0.20067366880043291,-0.20601688171790755,-0.21105296388471695,-0.21653490278054077,-0.22275120202535081,-0.23015300893380886,-0.23691599081752113,-0.24404917262513814,-0.2524762811069614,-0.26239841042129397,-0.2706307013911946,-0.27831710258955367,-0.2855915413847887,-0.2931032565313352,-0.3002897330314225,-0.3076030075559455
"MENA",-0.07007682177039287,-0.12035327559347664,-0.12396829534867537,-0.12751255764740232,-0.13123994627968205,-0.13567024462585175,-0.1408433375914342,-0.14489579889885862,-0.14875102213939284,-0.1521970427300401,-0.15588435516500354,-0.158792623635029,-0.1616668218838213,-0.16456735147788448,-0.16784739594479792,-0.1709774266316244,-0.17427053979300888
