"ICES_ACCREU","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AUNZ",-0.6726384282428,-1.2491557716896362,-1.3909674130958227,-1.5147303657797928,-1.6276963666065347,-1.708810737683486,-1.7720735794538922,-1.8297310251999876,-1.8865066021049204,-1.9438060290290937,-2.0065646434535678,-2.0651380255896523,-2.127015627307849,-2.188294640737043,-2.2561156453035247,-2.321779957166692,-2.3942627791379456
"Brazil",-0.1912821332985426,-0.46725504913003313,-0.6515016680647467,-0.7871152691343197,-0.8946519983649481,-0.9788498058518558,-1.0517324796134542,-1.0976132691110863,-1.130131660560274,-1.1587806350429775,-1.1885526339316166,-1.2220654041957268,-1.2616027021083442,-1.303333253600747,-1.3490538103010152,-1.3996171503071864,-1.4550216708748676
"Canada",-0.08491574019928727,-0.1644756427752858,-0.19140666389835248,-0.23788260695655206,-0.2954886518430344,-0.3526249746648391,-0.4084383982474127,-0.4642899149999047,-0.5194114997961297,-0.5746457546211392,-0.63040374228438,-0.6839479026693907,-0.7373471633854267,-0.7951647972110898,-0.8581710667037057,-0.916102783608419,-0.9743841514444296
"China",-0.06396212135011403,-0.11667139111718461,-0.12778680577938406,-0.141909768115267,-0.15908257769524647,-0.18362078631205536,-0.2148758372439885,-0.24942268335897966,-0.28832541505947606,-0.3406975916119048,-0.40537627952530464,-0.48700499395343266,-0.5843608699487635,-0.6952993553167475,-0.8199898875673517,-0.972086096416247,-1.1471103970032592
"FSU",-0.09611802144360304,-0.18707334058489788,-0.21570536782652416,-0.24164515859617097,-0.2656225521251332,-0.2938697302162341,-0.32479010014754284,-0.3502096859407944,-0.3720282023104926,-0.39261201186038264,-0.4128372360021171,-0.4339545215934826,-0.45633781572913534,-0.47746965701925825,-0.4985042956141661,-0.5224593820411627,-0.5492287419730513
"India",-0.07872092201937075,-0.1426296812665706,-0.15339473407501858,-0.16325507868965028,-0.1727824778995135,-0.18480460874866766,-0.19874658600229633,-0.21384533993897836,-0.23051359020910267,-0.24981092186570075,-0.27197864560696283,-0.2981844894156871,-0.3284325722990977,-0.36529530095441576,-0.4084430591789978,-0.45941783132014136,-0.5177841587850285
"Indonesia",-0.5921364301693544,-1.4288005300796658,-1.926754706045164,-2.364661829963177,-2.772562414517521,-3.0345166668839907,-3.21722919176336,-3.3637408756512777,-3.5009851118082413,-3.642102743505393,-3.799371416175512,-3.9412597238804525,-4.0827545420197175,-4.227614048114747,-4.38184141362068,-4.550701462748075,-4.735107683462713
"JPNKOR",-0.13467552795163318,-0.2943112673730486,-0.38750617603329207,-0.5689869227526678,-0.8157796400646511,-1.0737364501842594,-1.3470782318607877,-1.6242284872990065,-1.9123894889587323,-2.195337472955905,-2.4843409189269527,-2.783037807178801,-3.097305067105416,-3.446913613189262,-3.8321194035977224,-4.279547162305509,-4.782195417912282
"LACA",-0.21294219703873463,-0.4292950586018862,-0.48408974952284245,-0.5225059280130062,-0.5521943961452225,-0.5790171775024167,-0.60586660512670365,-0.6325921926816247,-0.6613527029087019,-0.6919712672130762,-0.7256035262880656,-0.7585996083805391,-0.7929203507430316,-0.8297942965047822,-0.870101252849742,-0.9140735891147056,-0.9619206594127627
"MENA",-0.39839853251139035,-1.1253725759745814,-1.6315450355389949,-1.9112202455444205,-2.0588612173548237,-2.2288779086753308,-2.41567181341914,-2.554880928829739,-2.6728634284919006,-2.7680059360033704,-2.8575875440215115,-2.911886105195849,-2.951763724127099,-2.9948527076879117,-3.0465299205915897,-3.1080426959431806,-3.180982766063589
