"ICES_ACCREU","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AUNZ",-0.34142109308927804,-0.484552947098682,-0.49692830074089533,-0.5078111347109671,-0.5185460525058416,-0.5288940990092805,-0.5396437317296665,-0.5474574276909561,-0.554414423607752,-0.5638696983660596,-0.576438131354795,-0.5874295824333298,-0.5991407322886166,-0.6097674914983031,-0.6216070530076667,-0.6339193400344723,-0.6487614121485574
"Brazil",-0.11528657998587377,-0.1982661510229744,-0.20352874051792202,-0.20857882526340576,-0.21425078375938433,-0.22082689583993176,-0.2288076346341983,-0.23555395714851546,-0.24244528817457534,-0.25003450141374284,-0.2589434668371804,-0.26672560121935307,-0.27447190016058887,-0.281435041838618,-0.2883227761483087,-0.2950276238860794,-0.3018052618620537
"Canada",-0.0615661779695853,-0.1009607694654413,-0.10401544434600618,-0.1070806969248217,-0.11028041722890292,-0.11368532366133888,-0.11719078035161701,-0.12048014190291223,-0.12364475026210853,-0.12666910170799905,-0.1298096158301454,-0.13249389990047655,-0.13517623023262537,-0.13777852416420044,-0.1407247737550854,-0.14332671295300692,-0.14622385489622136
"China",-0.019374211576406175,-0.01771160675280159,-0.01805320747894079,-0.018337042122917868,-0.018682503401812323,-0.01902622404552634,-0.01946492764658414,-0.01981938854725973,-0.020187166914842347,-0.02061849575788477,-0.021136089488815735,-0.021614641241241017,-0.022076879235055635,-0.0225626285446201,-0.023060977946931516,-0.023567135389812588,-0.024026060934911886
"FSU",-0.027934119250760947,-0.02836800499591563,-0.029030583252620534,-0.029702735855330342,-0.030355916881263934,-0.031207148202161417,-0.03216358442469369,-0.032988747782392025,-0.03373001062578762,-0.03456813756351762,-0.03550728235819367,-0.036225547529489255,-0.036836495173164785,-0.037481570353448124,-0.03819794248539621,-0.038995445123579664,-0.03989352258996215
"India",-0.029322402128750813,-0.03432951860115052,-0.034891581406881755,-0.03545521373508054,-0.03609459724975839,-0.03677259413362721,-0.03757223690563638,-0.0382864271940897,-0.03909925819236548,-0.03988093732382181,-0.040810230949095416,-0.04165610256251506,-0.042595886257346116,-0.043556316215376256,-0.04467519505985118,-0.04586048433857792,-0.047201522110829064
"Indonesia",-0.07417270754845884,-0.049517480836536176,-0.0509298785531076,-0.05227990488390066,-0.0537930332588199,-0.055561059461095574,-0.057756422802746066,-0.05963296496039883,-0.061555591483419825,-0.06391938376896222,-0.06682708063784348,-0.06962310906063474,-0.07253398701626557,-0.0756682588041846,-0.07910169901624853,-0.08286833337651789,-0.08698486240570347
"JPNKOR",-0.06358372188516315,-0.09261456258032874,-0.0949295621550883,-0.09711416465990608,-0.0995277503185954,-0.10213595763826078,-0.10516007663718963,-0.10764761428910807,-0.10994826940106117,-0.11253428608061222,-0.1155253949707502,-0.11819063610074565,-0.12071186943207746,-0.1236602760391281,-0.12700145886965775,-0.1304052093559993,-0.13385470691594792
"LACA",-0.06430962580356026,-0.08974739028632106,-0.09248108004887845,-0.09520236828128859,-0.09819736648677413,-0.10178735039951814,-0.10608045099875785,-0.10999078963587205,-0.11401941078381661,-0.11882851570230724,-0.12446029966273198,-0.12927141983888335,-0.13382069875261804,-0.1382529677956379,-0.14286719597680353,-0.1472852475533637,-0.15175125499511388
"MENA",-0.014938816369935992,-0.0047843588383944535,-0.004876453053859198,-0.0049587347397017645,-0.005045514738655221,-0.005155128118761176,-0.0052916761228205544,-0.005428267341189841,-0.0055835191969721976,-0.005761741456511427,-0.005973523031976846,-0.0061527391375992835,-0.00632932580022505,-0.006503166291282891,-0.006689853359787001,-0.0068596396666453785,-0.007028956729293601
"Mexico",-0.03280961379079628,-0.03875753939052151,-0.04010430399120635,-0.0415681022798875,-0.04323485097808,-0.045002355501311264,-0.04698687160277215,-0.0484613468409667,-0.04977747494020468,-0.05131373824979191,-0.05309722650320703,-0.05501686808687678,-0.057093323447532374,-0.05902662099048772,-0.06095566492023696,-0.06285351291713814,-0.06478211503579967
"REastAsia",-0.12280005156405371,-0.1416057160859463,-0.14277677876916028,-0.14374054162601402,-0.14512574790847,-0.14688930225118524,-0.14946347979754027,-0.15141390907064123,-0.1534461940703724,-0.1562802269457153,-0.1600776242393298,-0.16380878781503405,-0.1679011265916186,-0.1724056458510037,-0.17751755351328447,-0.18343528906373807,-0.19013638657952026
"REurope",-0.23373443471412791,-0.2346968004679928,-0.24159541480183178,-0.2483726635712169,-0.25532632116798126,-0.26294691723423025,-0.27115882243125,-0.2793607197420722,-0.28760670186099846,-0.2961105662877994,-0.30518144619234855,-0.31292981258077557,-0.32029577276171395,-0.32706156961235244,-0.333830373930899,-0.34083514684110083,-0.34848638452184
"RSouthAsia",-0.14480707785153868,-0.042255333832363906,-0.04270237153076728,-0.043043298306288946,-0.043456935489849524,-0.04386897304236026,-0.044409541291023924,-0.04477945711861553,-0.045224459179904475,-0.045794206565419326,-0.046599857016671464,-0.04729297928809384,-0.048021765762729096,-0.04872398494016883,-0.0495041946707242,-0.05030532363631268,-0.05119862797144936
"SAfrica",-0.0019658880274997514,-0.0035483122731050365,-0.003655548725500779,-0.0037937528899578687,-0.00396164498760454,-0.0044080089828479885,-0.0050390872702865686,-0.005779468643674068,-0.0066015219501336375,-0.0073280299853428765,-0.00801431048941259,-0.008428610602650988,-0.008689293992580893,-0.008918314762418333,-0.009146547514171655,-0.009382302056515357,-0.009644074895276411
"SSA",-0.04935260401813801,-0.05096528709243042,-0.05176683004207705,-0.0525714948197753,-0.053329299389992535,-0.05427749632267442,-0.055372111066931406,-0.05606859793921837,-0.05668773409455152,-0.05798687098583777,-0.05981025046621902,-0.06128871578559014,-0.06270106965051703,-0.0639457284235756,-0.06525486310138273,-0.0665287011457627,-0.0679388517416557
"USA",-0.06101553029337348,-0.0714130813885161,-0.07471623136918737,-0.07812999463348014,-0.08166083503716726,-0.0854740303361301,-0.08952423550978583,-0.09347091113174333,-0.09731273718134315,-0.10177284214628601,-0.10664719580995019,-0.11125828978009178,-0.11587574855560501,-0.12041077372018094,-0.12511770835487157,-0.13008850738656097,-0.13544290261994218
"bel",-0.0415521861227397,-0.005275720374109394,-0.0053526268990578,-0.00542942785646261,-0.005509675669790326,-0.0055956777508803235,-0.005690199027985621,-0.005778462619843161,-0.00586850178404541,-0.005960557655160237,-0.0060618606269380315,-0.006140957106504086,-0.006212888407519657,-0.006272429985365591,-0.006333632592292471,-0.0063942126819815925,-0.0064683918376440275
"bgr",-0.004196932448485846,-0.0018376187228441587,-0.0018449871903802872,-0.0018529604156491963,-0.0018581235648240657,-0.0018734729870795164,-0.0018939697586262128,-0.0019376965679662739,-0.001997241393558724,-0.002084601792573526,-0.0021952323433382936,-0.002326320650847258,-0.0024766387560881675,-0.002646216314783345,-0.0028332004086917273,-0.003032480239861801,-0.0032453460849679594
"cyp",-0.01627273505385718,-0.0055935778636273525,-0.005686665760651355,-0.005713730170775477,-0.005716087833917971,-0.0057142092056094995,-0.005717530976756535,-0.005769396868748888,-0.0058647433391900705,-0.0059474814526061515,-0.006050206455487928,-0.006135654288863535,-0.00623843933588164,-0.006298924842096376,-0.006351549222549657,-0.0064669933775740596,-0.006639966068666681
"deu",-0.05548945121691684,-0.015814028358196452,-0.016102013711216667,-0.01638588706437405,-0.016683415240958954,-0.016992408337335174,-0.01732741903357482,-0.017622646956849675,-0.017909679821881408,-0.018210601617529854,-0.018535124961882588,-0.018749278475294062,-0.018897678947393803,-0.019127755688630455,-0.019438474913324733,-0.01974650806551015,-0.020083841735141217
"dnk",-0.40275636246596136,-0.4800666172361412,-0.49164983185925326,-0.5044798952390739,-0.5183465070510151,-0.5334554797573721,-0.5493764269547841,-0.5639551801882359,-0.5772942001521564,-0.591580299121286,-0.6067372083565115,-0.6186482288407014,-0.6290423946415435,-0.6381427303994824,-0.647067802339607,-0.6575612761420047,-0.6699321114196688
"esp",-0.01988824225519492,-0.00893124880422258,-0.009199329866027561,-0.009554622102025956,-0.00996155990129477,-0.010502796866107555,-0.011140854730562477,-0.011883532947154496,-0.01273626608964129,-0.013816648568432122,-0.015097835466593157,-0.01621748118473265,-0.01725590194330273,-0.018283353363302002,-0.0193291107837279,-0.020520154287562153,-0.021865028988310442
"est",-0.07457255458873657,-0.13035274778743222,-0.13360441624457042,-0.13696886065692748,-0.14036440851210585,-0.1449817954582322,-0.15023393679066688,-0.1539916329306279,-0.15686647855917002,-0.16026577012385745,-0.16418705350864649,-0.16717563612165254,-0.16956881101626298,-0.17171379686502508,-0.173753926139808,-0.17668220190423245,-0.18028291734023538
"fin",-0.16601160917121272,-0.1954706940716644,-0.19322085599351446,-0.19132123673220036,-0.18997996302337894,-0.18868061721799556,-0.1874378571075419,-0.1855683167175326,-0.18318640741580294,-0.18128766440363986,-0.17978527349026274,-0.17677069604965512,-0.17294112693220232,-0.16843606081597962,-0.16367662669033445,-0.1603939002440935,-0.15832644792667105
