"ICES_ACCREU","total_land","land_remaining","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AUNZ",8495291,8478658.916588722,-0.19578003168200242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8459168.022857884,NA,-0.22988179997078806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8453392.53794031,NA,NA,-0.0682748575506209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8453082.630654674,NA,NA,NA,-0.0036660699742174785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8452738.413546761,NA,NA,NA,NA,-0.004072089709195037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8452345.004131045,NA,NA,NA,NA,NA,-0.0046542244237168795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8451892.480750509,NA,NA,NA,NA,NA,NA,-0.005353820511533325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8451405.128827762,NA,NA,NA,NA,NA,NA,NA,-0.005766186967670617,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8450899.138644548,NA,NA,NA,NA,NA,NA,NA,NA,-0.005987053933642628,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8450343.954653405,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.006569525704136492,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8449719.20648935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.007393168460434474,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8449084.029893588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.007517132584411446,NA,NA,NA,NA,NA
"AUNZ",8495291,8448477.848693585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.007174519721409034,NA,NA,NA,NA
"AUNZ",8495291,8447856.477682225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.007354827964134447,NA,NA,NA
"AUNZ",8495291,8447190.460054766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.007883865323921047,NA,NA
"AUNZ",8495291,8446487.480153037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.008322055777643111,NA
"AUNZ",8495291,8445752.660871584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.008699702487924288
"Brazil",8358140,8350643.0504,-0.08969638699519722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8341812.170708,NA,-0.10575089413715766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8339088.018196,NA,NA,-0.032656603340530665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
