"ICES_ACCREU","total_land","land_remaining","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AUNZ",8495291,8478684.017627843,-0.1954845616490064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8459211.286907699,NA,-0.22966689971767318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8453414.511576645,NA,NA,-0.06852619156144657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8453071.781634768,NA,NA,NA,-0.004054337349801429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8452701.8237488,NA,NA,NA,NA,-0.004376608829603779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8452268.082191909,NA,NA,NA,NA,NA,-0.005131395451252185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8451746.186479544,NA,NA,NA,NA,NA,NA,-0.006174623276133939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8451181.213678649,NA,NA,NA,NA,NA,NA,NA,-0.006684687263791567,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8450603.21516718,NA,NA,NA,NA,NA,NA,NA,NA,-0.006839263019631225,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8449973.206428923,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.007455192513672326,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8449265.197786396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.008378827071164885,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8448504.972010355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.008997537161459235,NA,NA,NA,NA,NA
"AUNZ",8495291,8447709.717614628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.009412960025023676,NA,NA,NA,NA
"AUNZ",8495291,8446846.707962435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.010215900889609664,NA,NA,NA
"AUNZ",8495291,8445894.125295911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01127737603697776,NA,NA
"AUNZ",8495291,8444876.662271278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01204683612580082,NA
"AUNZ",8495291,8443810.780659346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012621636224652288
"Brazil",8358140,8350628.333,-0.08987247162646206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8341785.61861,NA,-0.10589280276137591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8339070.78857,NA,NA,-0.03254495097481103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8338811.47586,NA,NA,NA,-0.003109611569140913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8338559.4358,NA,NA,NA,NA,-0.0030224938017742176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8338231.96178,NA,NA,NA,NA,NA,-0.003927225350153218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8337773.91606,NA,NA,NA,NA,NA,NA,-0.005493319472271718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8337233.386375,NA,NA,NA,NA,NA,NA,NA,-0.006482901676652109,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8336642.431215,NA,NA,NA,NA,NA,NA,NA,NA,-0.00708814462319074,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8335966.8357,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.008103928177016773,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8335183.78991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.009393580917893551,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8334390.814935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.009513587162413017,NA,NA,NA,NA,NA
"Brazil",8358140,8333652.924835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00885355770307017,NA,NA,NA,NA
"Brazil",8358140,8332918.02482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.008818461983339798,NA,NA,NA
"Brazil",8358140,8332151.38503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.009200135987386115,NA,NA
"Brazil",8358140,8331305.407105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.010153175163374328,NA
