"ICES_ACCREU","total_land","land_remaining","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AUNZ",8495291,8477083.205097562,-0.21432808955500482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8455731.439006822,NA,-0.2518763302677085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8449370.60416051,NA,NA,-0.07522512856745767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8448983.312134856,NA,NA,NA,-0.004583678995717655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8448557.970647348,NA,NA,NA,NA,-0.005034232780376513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8448052.306869335,NA,NA,NA,NA,NA,-0.005985208123915342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8447438.138915045,NA,NA,NA,NA,NA,NA,-0.007269935506803993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8446783.084207198,NA,NA,NA,NA,NA,NA,NA,-0.007754477713539654,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8446132.2210276,NA,NA,NA,NA,NA,NA,NA,NA,-0.007705456303419567,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8445424.181270702,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.008383005834733392,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8444618.052866137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00954514998018352,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8443751.2623338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.010264413700078467,NA,NA,NA,NA,NA
"AUNZ",8495291,8442848.760686953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01068839688436185,NA,NA,NA,NA
"AUNZ",8495291,8441869.85363903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.011594511232748683,NA,NA,NA
"AUNZ",8495291,8440787.411665656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012822301126902413,NA,NA
"AUNZ",8495291,8439627.413203424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01374277547410152,NA
"AUNZ",8495291,8438407.177210066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.014458410704820679
"Brazil",8358140,8350291.7948,-0.09389894402342946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8341039.477271,NA,-0.11080232591107464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8338167.200527,NA,NA,-0.03443547715876738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8337821.719286,NA,NA,NA,-0.004143371471110324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8337434.20336,NA,NA,NA,NA,-0.004647687837988634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8336941.29136,NA,NA,NA,NA,NA,-0.005912034661703647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8336300.74236,NA,NA,NA,NA,NA,NA,-0.007683261493807159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8335605.465175,NA,NA,NA,NA,NA,NA,NA,-0.00834035631016583,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8334917.399015,NA,NA,NA,NA,NA,NA,NA,NA,-0.008254543270724835,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8334058.726365,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.010302113493065868,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8332910.902215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.013772690926316944,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8331781.243805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.013556588126972802,NA,NA,NA,NA,NA
"Brazil",8358140,8330874.629295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.010881400788986806,NA,NA,NA,NA
"Brazil",8358140,8330042.14743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.009992730680075113,NA,NA,NA
"Brazil",8358140,8329184.52404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.010295546827032709,NA,NA
"Brazil",8358140,8328243.79233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.011294403519157559,NA
"Brazil",8358140,8327181.30777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012757606363278384
"Canada",9199204,9188892.4606123,-0.11209164823063889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada",9199204,9176825.47691744,NA,-0.13132141600944447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada",9199204,9173290.018696977,NA,NA,-0.038525939382372254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada",9199204,9173167.35749137,NA,NA,NA,-0.0013371560842023733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada",9199204,9173045.007660922,NA,NA,NA,NA,-0.0013337795516044082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
