"ICES_ACCREU","total_land","land_remaining","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AUNZ",8495291,8477083.360257562,-0.21432626313139247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8455734.03566409,NA,-0.25184752451016257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8449379.280477159,NA,NA,-0.0751532056250781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8449004.11098599,NA,NA,NA,-0.00444020180316862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8448598.538050067,NA,NA,NA,NA,-0.00480024545610469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8448124.269076232,NA,NA,NA,NA,NA,-0.005613581609997809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8447555.775669048,NA,NA,NA,NA,NA,NA,-0.006729226383006548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8446941.852831652,NA,NA,NA,NA,NA,NA,NA,-0.007267461188753543,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8446315.030566143,NA,NA,NA,NA,NA,NA,NA,NA,-0.007420700608939956,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8445629.014589688,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.008122074229677256,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8444852.94204707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00918904372044782,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8444015.382161032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.009917992554586696,NA,NA,NA,NA,NA
"AUNZ",8495291,8443135.381080065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.010421594953824442,NA,NA,NA,NA
"AUNZ",8495291,8442180.901145596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.011304804333800433,NA,NA,NA
"AUNZ",8495291,8441130.583918577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012441302067767168,NA,NA
"AUNZ",8495291,8440006.875481864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.013312297748990787,NA
"AUNZ",8495291,8438824.739890693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.014006334456972969
"Brazil",8358140,8350291.7948,-0.09389894402342946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8341051.366664,NA,-0.11065994294660042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8338210.794968,NA,NA,-0.03405531954104868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8337939.689609,NA,NA,NA,-0.0032513613011930786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8337684.457185,NA,NA,NA,NA,-0.0030610970275790628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8337355.8211925,NA,NA,NA,NA,NA,-0.003941573876864446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8336894.2639625,NA,NA,NA,NA,NA,NA,-0.00553601453385788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8336345.548485,NA,NA,NA,NA,NA,NA,NA,-0.006581773261438162,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8335740.18342,NA,NA,NA,NA,NA,NA,NA,NA,-0.007261755903464895,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8335041.972065,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.008376117053032761,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8334226.783285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.009780260048264378,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8333399.32104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.009928482467747024,NA,NA,NA,NA,NA
