"ICES_ACCREU","total_land","land_remaining","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AUNZ",8495291,8477061.763426192,-0.2145804843389998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8455699.073221495,NA,-0.2520058341071052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8449368.667602884,NA,NA,-0.07486555001300355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8449029.048666574,NA,NA,NA,-0.00401945931903791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8448652.551143378,NA,NA,NA,NA,-0.004456104021266505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8448223.116783636,NA,NA,NA,NA,NA,-0.005082873951112177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8447730.040087575,NA,NA,NA,NA,NA,NA,-0.005836454473850949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8447200.873485813,NA,NA,NA,NA,NA,NA,NA,-0.006264009375900326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8446653.985265428,NA,NA,NA,NA,NA,NA,NA,NA,-0.006474194571381986,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8446053.588366313,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0071081034000330945,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8445375.824748397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.008024618963464736,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8444682.351677995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.008211275433944731,NA,NA,NA,NA,NA
"AUNZ",8495291,8444014.273999318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.007911223310186344,NA,NA,NA,NA
"AUNZ",8495291,8443328.317988368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00812357711263978,NA,NA,NA
"AUNZ",8495291,8442595.634495812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00867766199491582,NA,NA
"AUNZ",8495291,8441824.085882246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.009138760719662464,NA
"AUNZ",8495291,8441018.913721409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.009537893145439291
"Brazil",8358140,8350308.5909,-0.09369798902626458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8341082.2998625,NA,-0.11049042004932508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8338232.7712625,NA,NA,-0.03416257624081487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
