"ICES_ACCREU","total_land","land_remaining","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AUNZ",8495291,8477051.357375827,-0.21470297632151247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8455673.498192096,NA,-0.25218508514909255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8449331.547658183,NA,NA,-0.0750023109959197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8449002.508219039,NA,NA,NA,-0.003894265922543827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8448671.0481713,NA,NA,NA,NA,-0.0039230672190693205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8448291.817056308,NA,NA,NA,NA,NA,-0.0044886481297523595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8447834.581234956,NA,NA,NA,NA,NA,NA,-0.0054121688887298625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8447369.567500059,NA,NA,NA,NA,NA,NA,NA,-0.0055045317285284945,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8446943.59371349,NA,NA,NA,NA,NA,NA,NA,NA,-0.005042679655065108,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8446475.54088522,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0055410909647779505,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8445911.329688556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.006679841715417911,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8445341.01211241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.006752587777481001,NA,NA,NA,NA,NA
"AUNZ",8495291,8444824.622816054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.006114487213904063,NA,NA,NA,NA
"AUNZ",8495291,8444345.135630092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0056778821038716565,NA,NA,NA
"AUNZ",8495291,8443891.199774927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.005375619398240161,NA,NA
"AUNZ",8495291,8443411.017421557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.005686742545696344,NA
"AUNZ",8495291,8442870.056683984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.006406898070654421
"Brazil",8358140,8350306.058,-0.09372829361555812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8341063.88447,NA,-0.11068065608380584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8338179.03839,NA,NA,-0.034586068635333866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8337831.511934,NA,NA,NA,-0.00416789390585981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8337474.633218,NA,NA,NA,NA,-0.004280234201059496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8337074.3154965,NA,NA,NA,NA,NA,-0.004801426560330224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8336607.8342725,NA,NA,NA,NA,NA,NA,-0.005595262874558138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8336134.691975,NA,NA,NA,NA,NA,NA,NA,-0.005675477447253385,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8335694.55689,NA,NA,NA,NA,NA,NA,NA,NA,-0.005279846130901156,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8335230.4078225,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.005568211075057672,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8334704.2306425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0063126890830211835,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8334054.685445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0077932603188446414,NA,NA,NA,NA,NA
"Brazil",8358140,8333240.87896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.009764832554093328,NA,NA,NA,NA
"Brazil",8358140,8332460.142285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.009368944043985916,NA,NA,NA
"Brazil",8358140,8331844.029485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00739412837840181,NA,NA
"Brazil",8358140,8331335.9438125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.006098117904063116,NA
"Brazil",8358140,8330898.1541025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0052547360105625884
"Canada",9199204,9188884.01677669,-0.11218343699421762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada",9199204,9176807.256044338,NA,-0.1314279373893834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada",9199204,9173269.180822814,NA,NA,-0.03855453343202253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada",9199204,9173148.214730334,NA,NA,NA,-0.0013186802882980686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada",9199204,9173029.973512372,NA,NA,NA,NA,-0.0012889927775483478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada",9199204,9172911.896893572,NA,NA,NA,NA,NA,-0.001287215011192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada",9199204,9172792.278023696,NA,NA,NA,NA,NA,NA,-0.0013040446830925312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada",9199204,9172666.009638913,NA,NA,NA,NA,NA,NA,NA,-0.0013765534087717413,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada",9199204,9172529.686896674,NA,NA,NA,NA,NA,NA,NA,NA,-0.0014861845192615242,NA,NA,NA,NA,NA,NA,NA,NA
"Canada",9199204,9172391.641219648,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0015049902452046737,NA,NA,NA,NA,NA,NA,NA
"Canada",9199204,9172257.426889615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0014632424702565316,NA,NA,NA,NA,NA,NA
"Canada",9199204,9172138.235616967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0012994758771034398,NA,NA,NA,NA,NA
"Canada",9199204,9172041.528541967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0010543569287313481,NA,NA,NA,NA
"Canada",9199204,9171961.70071633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.703386851105499e-4,NA,NA,NA
"Canada",9199204,9171895.015507866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.270550253068997e-4,NA,NA
"Canada",9199204,9171817.13282779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.491449143721574e-4,NA
"Canada",9199204,9171711.825950254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0011481571864258022
"China",9389260,9388207.1787805,-0.01121303723083944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China",9389260,9386972.840052178,NA,-0.013147757658260595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China",9389260,9386605.773497486,NA,NA,-0.00391038262224086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China",9389260,9386585.683086745,NA,NA,NA,-2.14032752898774e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China",9389260,9386565.70480017,NA,NA,NA,NA,-2.128386960897899e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China",9389260,9386536.372599304,NA,NA,NA,NA,NA,-3.1249129648358576e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China",9389260,9386491.375791846,NA,NA,NA,NA,NA,NA,-4.793760517429746e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China",9389260,9386447.775950253,NA,NA,NA,NA,NA,NA,NA,-4.6449562298711555e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China",9389260,9386416.947456166,NA,NA,NA,NA,NA,NA,NA,NA,-3.284362180777656e-4,NA,NA,NA,NA,NA,NA,NA,NA
