"ICES_ACCREU","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AUNZ",-0.02566403482068269,-0.0444485220088664,-0.04447302912723439,-0.0450042519179239,-0.04539373250382894,-0.04667242857431253,-0.047976139082939184,-0.049781823308492346,-0.05154155548300343,-0.05417482503280446,-0.056971278337425435,-0.060367245352388466,-0.0639476446187004,-0.06778999829119003,-0.07173965384343894,-0.07592343778265453,-0.08033039250853191
"Brazil",-0.026528461860808594,-0.04661019930091159,-0.04819083408547087,-0.04851172277712257,-0.047471181682445796,-0.046157148116221514,-0.044110760658289117,-0.0422819853073686,-0.040374986125246703,-0.038907677231692084,-0.03759759288698428,-0.03668447893785398,-0.03598204667802918,-0.035537975815791434,-0.03526164391215447,-0.03523995287948445,-0.03538022612089575
"Canada",-0.02156637363825986,-0.03633617059904948,-0.03529126637239477,-0.034847064490484136,-0.034504920017242036,-0.03443744524972425,-0.03435193104619483,-0.03439758973943219,-0.03444465725697121,-0.03482138508186239,-0.03532569544354436,-0.03599447725818328,-0.03678196255769706,-0.037781899714761646,-0.038957604473888185,-0.040177123338058784,-0.04152887451257525
"China",-0.006104391687000721,-0.010919465991821031,-0.011106436124896923,-0.011121020277671256,-0.011192200849519107,-0.011188323778477116,-0.0112242762732917,-0.011087340073745455,-0.01089448482665123,-0.010680429642895284,-0.010486508007845341,-0.010352129172253033,-0.010322500149506642,-0.010288984456674477,-0.010288763037358262,-0.010298594795488114,-0.010329351792226493
"FSU",-0.008065369642151765,-0.014452726306024566,-0.015638631437608908,-0.01643080343369796,-0.016733454009976167,-0.016803587567182365,-0.016748938203392516,-0.01665184546468801,-0.016467418530241584,-0.01631882055572742,-0.016135752475199272,-0.015935514140696938,-0.015733160815645242,-0.015527635101897364,-0.015320610086200226,-0.015196952507401384,-0.015104324382220202
"India",-0.007531147901462809,-0.013052790577461337,-0.012336193344364421,-0.012102452080464676,-0.01189535070683645,-0.011864584827758762,-0.011774388003338299,-0.011755163912441358,-0.011679351597893017,-0.01168828915244502,-0.011696647915238056,-0.011739984105918477,-0.011796692417198607,-0.011879968652750428,-0.01200186788706814,-0.012132777636386649,-0.012296429454428104
"Indonesia",-0.009425155325648582,-0.017407979416439456,-0.018319627875063027,-0.019389106124156896,-0.020359906032041408,-0.021588594041044296,-0.022864398874100633,-0.02409693008686986,-0.025267630408309927,-0.026544436125264248,-0.02788193484266621,-0.029182014652007204,-0.03049810646915674,-0.03186228510873024,-0.03330678427682088,-0.03486587228048732,-0.03655856237334554
"JPNKOR",-0.022135294832970054,-0.03801042943685218,-0.03869669185251334,-0.039177772606535655,-0.03981712579559371,-0.0403355410457662,-0.04089671693082719,-0.041293680877974026,-0.04168366099448484,-0.04204379715762041,-0.042494658641989425,-0.043080701845721325,-0.04387995665781075,-0.04477356070637928,-0.045865239150966186,-0.04698222180082867,-0.048226791350192144
"LACA",-0.027630422206159633,-0.04762618055250689,-0.04702365945815634,-0.04730130533565635,-0.04767292620492247,-0.048333325015670336,-0.048700886415320443,-0.04915801527224373,-0.049388450985554666,-0.04995335437267823,-0.050414980722202074,-0.050985078671106354,-0.05146414689538581,-0.05221874458859466,-0.053040846663110486,-0.053603478501518254,-0.05397500162588331
"MENA",-0.0013997671737042694,-0.0024393258592936284,-0.002418863213449196,-0.002419869611636205,-0.0024123983190404985,-0.0024110518492492794,-0.002407876171328649,-0.002406235156482417,-0.0023990725131928237,-0.002405143670536347,-0.0024121865918380614,-0.0024250426195693287,-0.002441458443158684,-0.002467077455670097,-0.0024968185282414623,-0.0025308707335303104,-0.0025639329831905755
