"ICES_ACCREU","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AUNZ",-0.051683609401731445,-0.08945960099515649,-0.08945033638606548,-0.09039676395066198,-0.09104204434834395,-0.09340722338243568,-0.09581099306239516,-0.09924685717871418,-0.1026179315672282,-0.10768174604991465,-0.11305828837008258,-0.11962317000171474,-0.12656133834194616,-0.13399983047445163,-0.1416463863917805,-0.14981262210882473,-0.1584543255284121
"Brazil",-0.029402054615734752,-0.0516389103072501,-0.05336355115397318,-0.05368068291352612,-0.052489146636991446,-0.0509696005827176,-0.04863790998583806,-0.04655220571531116,-0.04439018302185849,-0.042711484833046764,-0.041211022413323306,-0.04014628081248084,-0.03931680261525239,-0.038774242639472156,-0.038420201334110615,-0.03834152338514363,-0.038440436033015946
"Canada",-0.027165422121555594,-0.045731638531609775,-0.04436513304040268,-0.0437201972357415,-0.04319559043755028,-0.04302040902032234,-0.04283251556547185,-0.04279641187628913,-0.04276198615408289,-0.04312901593900298,-0.043655625223470995,-0.044343208396779854,-0.04515956236278429,-0.04633882238413989,-0.04779311620269899,-0.04921658269895213,-0.05075348466294649
"China",-0.03274615803472436,-0.05854851312443454,-0.05952570590966877,-0.05957335320418977,-0.05992282475394406,-0.05985125470023833,-0.05998439573068337,-0.0592097611311293,-0.05814636873147094,-0.05695918569987857,-0.05587416820375113,-0.05509867018455017,-0.05487624104257849,-0.05462512677232301,-0.054545643878445293,-0.05450728148769235,-0.0545719127168276
"FSU",-0.03531785332573367,-0.06332550808154647,-0.06858309484960579,-0.07217576225250211,-0.07364283809340177,-0.07399655173077058,-0.07375205408109986,-0.07315332240245276,-0.07209197279591795,-0.07145188071340236,-0.07080116527218294,-0.06992107945482662,-0.06894832287746011,-0.06810824749478028,-0.0673405992077214,-0.06643722189662027,-0.0654020084761342
"India",-0.02735741118778945,-0.047408366827017545,-0.04480238385439206,-0.043938651575059495,-0.043170360161992605,-0.04307066310595964,-0.042764730323063826,-0.04271472767261031,-0.042456317677042055,-0.04250430458614396,-0.04254815920442523,-0.042728953297066496,-0.04296174606962522,-0.04329303938733764,-0.04376475955828463,-0.04425596583158553,-0.04485873224365777
"Indonesia",-0.1500587536777842,-0.27704839542629367,-0.29160051025295397,-0.308944048479598,-0.3247967368932847,-0.34320926869492174,-0.3617422788461999,-0.3801975409518765,-0.39803132241875705,-0.41675283739482927,-0.4360637040897175,-0.45451519161903153,-0.47311234896627585,-0.4921166076091832,-0.5122083026983804,-0.5335337680287822,-0.5566262275704892
"JPNKOR",-0.04730618188326652,-0.0796603708461796,-0.07881362010236925,-0.07799308033024088,-0.07776152832627004,-0.07763291477966838,-0.07780562979176064,-0.07808934314006422,-0.0786242516592428,-0.07924334131444999,-0.08012205682210727,-0.08122834495408737,-0.08271900630254514,-0.08445987741227956,-0.08662233029118616,-0.08886346406890011,-0.0913677555061998
"LACA",-0.0421677106551166,-0.07349138098632357,-0.07360007483205866,-0.07484223930989131,-0.07604738128734745,-0.07792925023638597,-0.0793614781032348,-0.08092954884419967,-0.08205536049327167,-0.0836248138103346,-0.08491905144174527,-0.08639720840670773,-0.08768993580392515,-0.08935632634775592,-0.09106764097298603,-0.09241307041291114,-0.09345630650305914
"MENA",-0.03620252256344436,-0.06317432427995762,-0.06275888892296466,-0.0629312977886265,-0.06288033027160855,-0.06315450088387742,-0.06343119929851371,-0.06394112990939504,-0.06435935345905364,-0.06515374318014633,-0.06594473625155528,-0.0668992535273416,-0.06792528495045413,-0.06902181875731994,-0.0701154645515567,-0.07119426907804538,-0.07216418153699333
"Mexico",-0.08581487257266485,-0.14857205718856736,-0.14879572202521896,-0.15070796755841664,-0.15260781214171404,-0.15551258120606315,-0.1576347271343148,-0.1612348828321175,-0.16499409470122073,-0.17044209953520628,-0.17635190521873012,-0.18360683202636174,-0.19131549310679175,-0.20062987933374687,-0.21102082807796796,-0.2221380089502456,-0.23399585099094233
"REastAsia",-0.05874831479273368,-0.10422826643032845,-0.10507186201788032,-0.10711749521664649,-0.10849973703553895,-0.11305444268374654,-0.11922518241811453,-0.12656189488242653,-0.13414805427575116,-0.14295724137838306,-0.1520057513812012,-0.16181207560063138,-0.17200654428534135,-0.18293516183442993,-0.19416036878608933,-0.20666496714326632,-0.21956882944729195
"REurope",-0.23261418000791734,-0.3871333794105536,-0.370152661456602,-0.3592858671253696,-0.35190461042471366,-0.34760942698829345,-0.34468629865576084,-0.345380509897919,-0.3473358313031194,-0.35064662437258587,-0.3544749085400034,-0.36051292478591623,-0.36849245583655543,-0.3772098724605266,-0.3868477004918436,-0.4013158796191796,-0.4196283802198164
"RSouthAsia",-0.2999092336222198,-0.5447001491573178,-0.5600299789588536,-0.5682965012593577,-0.55784906616968,-0.5589719747551403,-0.5561915046886079,-0.5595248275926612,-0.5587053419316423,-0.5634062958496555,-0.5648712841624715,-0.5696037672673571,-0.5719343056958648,-0.5763973297160274,-0.5797349177087963,-0.5841841149893834,-0.5875539975654487
"SAfrica",-6.066089290213128e-4,-0.0011195208198699902,-0.0012526705488902223,-0.0013431655480067306,-0.0013681579173807634,-0.0013720644881809463,-0.0013393521156368493,-0.0013047443335967301,-0.0012571378012804502,-0.0012255903445335115,-0.0011946538978069299,-0.0011797364014576317,-0.0011686301105595653,-0.0011656813443505776,-0.0011635596623649214,-0.001178922769440316,-0.001200967205494674
"SSA",-0.034967539442176676,-0.0682941369556711,-0.07733049714260254,-0.08690160882118825,-0.09214449903385269,-0.10140137022975892,-0.10862686466122096,-0.1185987322944948,-0.12574744898288248,-0.1358845185427171,-0.14331593918347485,-0.152810537404513,-0.15977016070879424,-0.1681196990138467,-0.17418415021041023,-0.18084402486147066,-0.18536496564226512
"USA",-0.06317723305486744,-0.1094952134489291,-0.11097441411859199,-0.1138242124786637,-0.11810176496167557,-0.12240107161475278,-0.12669474565898398,-0.1314910867457164,-0.1361465044856014,-0.14152677949871295,-0.14703820699830672,-0.15293679151208162,-0.159048542605722,-0.1651953465894418,-0.17124766777136813,-0.1763445838986466,-0.1808231685041739
"bel",-0.11012558562737418,-0.1854224957536066,-0.18108236800801203,-0.1834130573875048,-0.1909266884395744,-0.1993785697846806,-0.20864206343277347,-0.21727179806644292,-0.22502042378484965,-0.2329672295073526,-0.24057928036912424,-0.24872258605594944,-0.25742625542218844,-0.2666015579680048,-0.2762938027240036,-0.2879199459030146,-0.30126066176007216
"bgr",-0.006849818914156369,-0.011726105788467667,-0.011456650335717189,-0.011345632922987736,-0.011396966020327248,-0.011504194146627622,-0.011685706832798015,-0.011829347522518407,-0.011948584831089626,-0.012083774518500956,-0.012243626767860505,-0.012318504016417542,-0.012370933477945378,-0.01243313053456152,-0.01251288498407277,-0.012236676784671552,-0.011751488354672102
"cyp",-0.04033715885976008,-0.06597592128987362,-0.06043495660108533,-0.057324340598263746,-0.05551510491846878,-0.054719386764545686,-0.05448227059514643,-0.05473226614554072,-0.05510868029245941,-0.05597364168768992,-0.0570028070983053,-0.05814796360762431,-0.05947703141109262,-0.0606897554708552,-0.06192882829840762,-0.06317596332944264,-0.06444277586115099
"deu",-0.12990601896077925,-0.21783636515383398,-0.2159383179645702,-0.2173476910581562,-0.22029541503008065,-0.2238685684249231,-0.22753557769376043,-0.23143645897572007,-0.23587133089258971,-0.24130281129052245,-0.24742129291571713,-0.2545003247649613,-0.2625272778677856,-0.2714731114000335,-0.2818677792462476,-0.2950575971107816,-0.3112143013863977
"dnk",-0.2683981041606165,-0.4415402349883135,-0.4180392044163428,-0.41177933525898824,-0.4172458465081297,-0.4162259482696773,-0.41059371701497316,-0.4255675604190823,-0.4506958710696507,-0.4693440121873116,-0.4835775380433116,-0.5055544652765809,-0.5325425593319832,-0.5645675901277625,-0.6001120554601336,-0.6423229701515099,-0.6898874088956397
"esp",-0.04067825817645199,-0.06685800005102882,-0.06271988558175234,-0.0600993992755261,-0.05852716632346322,-0.05753980053326835,-0.056796352484156376,-0.05712159206286982,-0.05797643688537635,-0.05918022912798637,-0.060629175910964506,-0.062311390580349624,-0.06439284027813796,-0.06714229759605672,-0.07052875942655801,-0.07432808169978156,-0.07856846712164245
"est",-0.013267066834188324,-0.02286162895734911,-0.02308910414329235,-0.024770324330825044,-0.027092359756875073,-0.029089335450716014,-0.03123200123655856,-0.03299309911608539,-0.03458029870293533,-0.036184864560162566,-0.0377911529950703,-0.03984230337314987,-0.042301486955320655,-0.04564172988038573,-0.04969959925472667,-0.054101213750001875,-0.058844443420835724
"fin",-0.1066134958527365,-0.17442278115138432,-0.16436688671026545,-0.16347057747654326,-0.1677588260146079,-0.16513007003146063,-0.15864398233341737,-0.15855993427045245,-0.16139630007034889,-0.1599978876970387,-0.15603520879219346,-0.1545353810791128,-0.15471456433024944,-0.15646333276168045,-0.15920169987432287,-0.16078844948453908,-0.1619616593440787
"fra",-0.08151832749248022,-0.13778250536305992,-0.13556787223558686,-0.1366139311740011,-0.1401006519257897,-0.14432270730542207,-0.14863501221202835,-0.1532833068563666,-0.15757411391184029,-0.16023015940005436,-0.16171122724625286,-0.16713140661245296,-0.174690685602652,-0.18075415031337805,-0.18584281573283956,-0.192377404463695,-0.19994264943551388
"gbr",-0.10617507747044952,-0.178018755505005,-0.1720097990233871,-0.1685476462882307,-0.16662346000257955,-0.16508998277011688,-0.1628411348231995,-0.16095552421169224,-0.15881921033462643,-0.15812178950745936,-0.15796396783303024,-0.15891487803039173,-0.16068454754932793,-0.1629694196224385,-0.16571493536305937,-0.17001164164945903,-0.17545937521303845
"grc",-0.09751096604156961,-0.16144891762779334,-0.1514746509972298,-0.14809323462861013,-0.14989984832007863,-0.15306406316819565,-0.15689109774521537,-0.16204023450642202,-0.16795100545264896,-0.17503148410666913,-0.18309862690899514,-0.19156286107442355,-0.20105759221555886,-0.21113569938039367,-0.22212478041077066,-0.23371151647223476,-0.24617850304010647
"hrv",-0.03277399852716911,-0.05206533329672469,-0.04527712496273928,-0.04202565637221323,-0.04138233925027324,-0.04119176092236554,-0.041694607270370554,-0.04262815778882656,-0.043992894850075626,-0.04532898466902413,-0.04672122364617337,-0.04806056417892002,-0.049455796785158324,-0.050805311250623486,-0.05217545694686798,-0.05339998074009866,-0.054506809427856684
"irl",-0.07085394665767852,-0.11561162012950765,-0.10488046699881348,-0.09993419342557708,-0.09872811618995003,-0.0967432322134476,-0.09353211126644778,-0.092057025625647,-0.09148887165552066,-0.09206031299234807,-0.09356219373234387,-0.09574621211327905,-0.09889914900824692,-0.10256180903799317,-0.10691862738166913,-0.11297645302508208,-0.12035805661143595
"ita",-0.03465245335854128,-0.057547243779454416,-0.05519610215293236,-0.05392600505356171,-0.05364489757250235,-0.05401468688209787,-0.0547934970077657,-0.05628219092822517,-0.058223077677332924,-0.060273145818201534,-0.062469511599461125,-0.06496886795939183,-0.06786249590848836,-0.07121895090163033,-0.07501903946978139,-0.07890902620949491,-0.08307480045541826
"ltu",-0.04775309876980938,-0.07900506391651518,-0.07437468944448966,-0.07423217560019735,-0.07770249175098609,-0.08061705432921284,-0.08417353494153401,-0.08709364420215193,-0.09013120919362239,-0.09378808860222021,-0.09804830536345177,-0.10303701840657098,-0.10876151377819943,-0.11524027708708084,-0.12231600422401012,-0.13103346248547476,-0.140687597834821
"lva",-0.07549168581030274,-0.1281448995118395,-0.12573529833994623,-0.1284666476995544,-0.1350108553150653,-0.13996989662514725,-0.14525493128544342,-0.14973769955658467,-0.15393022161255265,-0.15781560101206793,-0.16144833075616427,-0.16643919454194522,-0.17271124127365978,-0.18103987860074167,-0.19078892940954661,-0.20204134867617407,-0.21393948393712003
"mlt",-6.068001597414607e-4,-9.968866088727601e-4,-9.06440841152989e-4,-8.697666966872575e-4,-8.689788473237314e-4,-8.848386924054097e-4,-9.211690532362482e-4,-9.599803795112827e-4,-0.0010043156752015392,-0.0010493626899199526,-0.001096325642135909,-0.0011422657436588324,-0.0011908958284845284,-0.0012372244621583484,-0.001284890586505938,-0.0013293412046366804,-0.0013704764126210023
"nld",-261783287.96696928,-5167189327789.365,-4648333817120.144,-4614575724341.004,-4985147745151.623,-5599167458175.692,-6402636003145.51,-7362275146327.615,-8518468277184.015,-9927357716732.348,-11605086159368.824,-13754228002131.527,-16459811897441.332,-19780914724332.375,-23868245499069.64,-28845702760881.773,-34839709160642.797
"pol",-0.03875380193806288,-0.06479191288881747,-0.061634032491664215,-0.06070289974519083,-0.061396164982663315,-0.062110747314381154,-0.06367685160444392,-0.06527860944169905,-0.06723638933909815,-0.0695015038021718,-0.07222262212399633,-0.07548302036510801,-0.07947648427766296,-0.08412398488142347,-0.08935512998459183,-0.0957277744657481,-0.10283126777494989
"prt",-0.017261820198699596,-0.0285860349387268,-0.02690839158906444,-0.02602210496517321,-0.02570969248909538,-0.025782806795882074,-0.02605382631463149,-0.026796941060780455,-0.027797976907784072,-0.02893196726054814,-0.03020277989317366,-0.03171587943606724,-0.03351088513867673,-0.035561613811396775,-0.03788969749277671,-0.040410835229520714,-0.04317755504096299
"rou",-0.0034412653523552272,-0.005798054282368792,-0.005581303147650374,-0.005476424357098164,-0.0054949345232535585,-0.005636313654089342,-0.005915007642021131,-0.0061517318598491855,-0.006396468886082918,-0.006651302654636648,-0.006931677865884556,-0.007204288837814321,-0.007495276650959504,-0.007817012821087488,-0.00816388969397952,-0.008175486346861938,-0.007957789711043883
"svn",-0.0097439134961963,-0.016163613783326536,-0.01526917171478237,-0.014937021896066494,-0.015051090751250218,-0.015340032890487354,-0.015809283258827467,-0.016327786544645395,-0.016850208638807818,-0.017433873845007497,-0.018064715848442603,-0.018724984198825734,-0.019453736582442094,-0.02024566118455917,-0.021135227771373888,-0.02206912649671544,-0.023089317761326722
"swe",-0.0716334034429722,-0.11819854800925178,-0.11133829350928881,-0.10983025072351937,-0.1113276114194428,-0.11272437706544292,-0.11424405750682931,-0.1147378277477129,-0.11441834173766541,-0.11427483676749173,-0.11406558348667772,-0.11507864215524188,-0.11689582778333651,-0.11955219663446481,-0.12278535179404138,-0.12679680065094123,-0.13149178416675955
