"ICES_ACCREU","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AUNZ",-0.027963972861955178,-0.04916511638455301,-0.050150641087232106,-0.05189488081956961,-0.05344868627253918,-0.05619030916315104,-0.05891565294556811,-0.06281632669677961,-0.06680783674087865,-0.07258414495675547,-0.07875187017341023,-0.0861272768590493,-0.09383188740204051,-0.10254476731824669,-0.11164996789774229,-0.12367560251702603,-0.137381954282767
"Brazil",-0.028235488758188154,-0.05075738792901241,-0.054029795486543186,-0.056175360432308974,-0.05670593538811275,-0.05689710629813716,-0.055968049778454265,-0.055321695201282495,-0.05440420258334688,-0.054354573711967724,-0.05448607653530946,-0.05511573056897756,-0.05588916600371974,-0.05699209048298792,-0.05822955929170037,-0.05995144030711552,-0.06190355686551685
"Canada",-0.023428417364879106,-0.040761820666268544,-0.041370937901974436,-0.042420018684008465,-0.04332340387597222,-0.04442332539068561,-0.04533514959365048,-0.046373680292499664,-0.04732926730905973,-0.04894619306272663,-0.050789901795034176,-0.053044848617311846,-0.055517991538145406,-0.05828527152422769,-0.061269244181894056,-0.06482037728975376,-0.06884834040877807
"China",-0.005036476178899019,-0.009295458681368718,-0.009789415101968402,-0.010181918308560522,-0.010633141201310536,-0.011053145982220514,-0.011520247726115596,-0.011842749442658729,-0.012113826859061483,-0.012395062247705368,-0.012707544764034573,-0.013061422664073508,-0.013525908258582575,-0.01400218211080606,-0.014534369723517848,-0.015137390390973504,-0.015806821287234207
"FSU",-0.009210480742860572,-0.017083834545994492,-0.019302809832533185,-0.021091649307491966,-0.022225917739371326,-0.023191327777072335,-0.024019026426735923,-0.02496674246893482,-0.025816459142302683,-0.026924808103501174,-0.028004586690089095,-0.029055491104079678,-0.03004141296587548,-0.030925686374805306,-0.031701356454738594,-0.032838327113382526,-0.03408778432372195
"India",-0.005530281462917674,-0.009883965016366236,-0.009657659247030992,-0.009853146441052285,-0.010025949780290144,-0.010427894624087664,-0.010754537823653987,-0.011184300505517886,-0.011530192354824997,-0.012031992776728728,-0.012525443931798996,-0.013131781871988935,-0.013755591840181047,-0.014481410052002985,-0.015264053565455793,-0.01629631714240576,-0.017476532859128646
"Indonesia",-0.008404752828217177,-0.015960281052640468,-0.017288720033736826,-0.01896833995742586,-0.020570396317420858,-0.022680047854040097,-0.024891620362177402,-0.027383840169525886,-0.029911961218065386,-0.03308451208803298,-0.036541294528413815,-0.04052226923130231,-0.04478259241685878,-0.049556725462218676,-0.054652272841715366,-0.061500702990746614,-0.06945370341759904
"JPNKOR",-0.02298150557938916,-0.040570947142182234,-0.042919319070311435,-0.04512797285269876,-0.04754443435023292,-0.05024766336743092,-0.05322897978008445,-0.056008883175406865,-0.05876399052626713,-0.06199508926667541,-0.0656695115356376,-0.06966493498267168,-0.0740711396323035,-0.07895741176516813,-0.08441909336504017,-0.09053114737980206,-0.0973286078281066
"LACA",-0.023783271992272592,-0.041775762159490526,-0.042245980241684133,-0.04348397929772041,-0.044699979163043135,-0.04645040056759919,-0.04793566057127441,-0.049813300119894155,-0.051494179891364844,-0.05388479774813826,-0.05620630027612927,-0.05907977827634969,-0.06192883731858112,-0.0652776431189106,-0.0686692934319999,-0.07267497119716193,-0.07679930674187041
"MENA",-0.001339924859711239,-0.002388442867462537,-0.0024337875314528468,-0.0025060020904410507,-0.002564009703553971,-0.0026481344616802183,-0.0027324083045288106,-0.0028319095730644506,-0.0029244030862463077,-0.0030577982909840706,-0.0031968939678717057,-0.0033622703070501636,-0.0035352123525012047,-0.0037498321618367747,-0.0039785076106024775,-0.004278870362106613,-0.004603849085993428
