"ICES_ACCREU","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AUNZ",-0.02678032774245942,-0.04639072264608357,-0.04642810553774357,-0.04681118862573941,-0.046981581200611355,-0.04810799534828991,-0.04929471633190463,-0.05080965789108216,-0.05221139214941495,-0.05456285715490505,-0.05713249767823614,-0.059854442251860984,-0.06255675616868572,-0.06556147695773173,-0.06872307099308195,-0.07033527583565347,-0.07120188867728583
"Brazil",-0.026510447872940546,-0.046647983548020466,-0.048323693046448124,-0.04860943067920287,-0.04747504825908244,-0.045923754314236565,-0.04360816058177619,-0.04149323422717455,-0.03932658067354877,-0.037680523509175945,-0.036248704617181104,-0.035026644081825875,-0.03394390112818613,-0.03305778202303822,-0.03232849124700232,-0.03166643617251719,-0.031088882242447102
"Canada",-0.021654514749369635,-0.036581261721413405,-0.0356628378820556,-0.035085394485190324,-0.03449774553589968,-0.03412493047070253,-0.03372918338421238,-0.03350654941761677,-0.033324409749446726,-0.033543383536471794,-0.033936453926086685,-0.03438221390217322,-0.03489186813082634,-0.035503341801379484,-0.03623391789799868,-0.03680466921801573,-0.03738871142562328
"China",-0.006177975457966056,-0.01104910141488391,-0.011235966708877942,-0.011234798509118793,-0.011285652040227134,-0.011248780347317133,-0.01124679282750174,-0.011051137046391712,-0.010789641351094392,-0.010542404967495145,-0.010336332164051498,-0.01011883993130569,-0.00996145304830165,-0.009811018991545684,-0.009699203010515856,-0.009543727718419603,-0.009373356870345795
"FSU",-0.008053293506693482,-0.01445625366657266,-0.015677955837933855,-0.016469202211311096,-0.016751119492719457,-0.016736793764715596,-0.0165689289321036,-0.016288522469054545,-0.01589589783363987,-0.01564475630901896,-0.015423906843836654,-0.015091816243151257,-0.014712544063943955,-0.014402141418756731,-0.014135141561699704,-0.013802350746539016,-0.013426825217899285
"India",-0.007547812422459277,-0.013100106897012687,-0.012400418153413195,-0.012153105110801476,-0.011923876010488943,-0.011864265450844957,-0.011746116419808494,-0.011677467285453602,-0.01154873262958489,-0.01151287019146574,-0.011484256906679757,-0.011441804264977762,-0.011394013414567361,-0.011402335004906394,-0.011466817710970023,-0.011446696937444933,-0.011410514441534403
"Indonesia",-0.009625358384424132,-0.017783468929388757,-0.018721246343833542,-0.01979206398833311,-0.020752936895840346,-0.02197809991101307,-0.023253771179554406,-0.024341184696130558,-0.025302352797018646,-0.026341267490082032,-0.027435005438025684,-0.028441916750321372,-0.029444072438655766,-0.03042015586726121,-0.031438257501670286,-0.031965213775575485,-0.032269766958736845
"JPNKOR",-0.022378413358337124,-0.03841896123529809,-0.039099591247193644,-0.039507634996360785,-0.04003985413570943,-0.040430872235774906,-0.040855078526735866,-0.04103546646789802,-0.041162173367226274,-0.04136631704713123,-0.04172782387057428,-0.04197873781317529,-0.042281292347468025,-0.04268002278481342,-0.04326905379977708,-0.04375730528088928,-0.04427582073323055
"LACA",-0.02791618226762882,-0.048369753218457934,-0.04807917185120081,-0.048306858676494535,-0.04847150610579609,-0.0488473266586853,-0.04891674340858909,-0.04912611290385227,-0.049152186190670744,-0.04949599473783595,-0.04974641125742307,-0.04990165761008525,-0.04989030234042735,-0.0500346245385308,-0.05021633033417405,-0.050005970797173394,-0.049569057586418275
"MENA",-0.0014277083238756205,-0.002486625514630525,-0.0024640616378190927,-0.0024553452520281738,-0.0024357966874832826,-0.0024232037812543794,-0.002409995929653075,-0.0023954904240786057,-0.002375008798949363,-0.0023689772128077102,-0.002365356908873295,-0.0023567944947067154,-0.0023471052912227286,-0.0023464257839722613,-0.0023508562161600466,-0.0023395692870575857,-0.0023180568587743977
"Mexico",-0.010225725936308105,-0.018007281335341574,-0.018426096586388052,-0.018892860894859087,-0.019265040992089144,-0.01977229535394809,-0.02017202310530264,-0.02069918235491075,-0.021211807655940884,-0.021955318146349434,-0.022762961039124452,-0.02358866496364742,-0.024394341389522012,-0.025402044149336334,-0.026550828812954563,-0.027759744028799105,-0.029047687152827795
