"ICES_ACCREU","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AUNZ",-0.05501037343608184,-0.09596676563182749,-0.0969370747921583,-0.09922836240002786,-0.1011944367665385,-0.10567702315533722,-0.11031753252201959,-0.11674394618641504,-0.12320365654905352,-0.13293854978143615,-0.14344512183547264,-0.15664837083750882,-0.1707233697538335,-0.18810399910685893,-0.2069528583287905,-0.23001133560867082,-0.2554762433264579
"Brazil",-0.03048833634815562,-0.054021920141555935,-0.05646855939784867,-0.057533935209852505,-0.05696265074420781,-0.056293038737387224,-0.054724026265406955,-0.05348336477564164,-0.05206435083573435,-0.05138859384803407,-0.05089735774636006,-0.05110681012131524,-0.05159071654320391,-0.05277804738431646,-0.054288925792911336,-0.056643895026387,-0.05939593619358474
"Canada",-0.028911678709653277,-0.049307958008260044,-0.04871567955663236,-0.048678020543424516,-0.048600543803312135,-0.04886083815650588,-0.049043871543585915,-0.049640386508942314,-0.05031943821468543,-0.05178806020138538,-0.05355619887724705,-0.055853863882759924,-0.0584368193096374,-0.06155693116784988,-0.0650287859212284,-0.06902927141305693,-0.07348903741271062
"China",-0.03492357228435106,-0.06351283988696999,-0.0658268754796354,-0.067388604957585585,-0.06935083380792406,-0.07099699706764051,-0.07292171630791655,-0.07387218656156325,-0.07449328486202056,-0.07541864126959785,-0.07669329464790042,-0.07838315972671372,-0.08083914812533344,-0.08377603159349656,-0.0873092017740662,-0.0916653009968571,-0.09667919395732749
"FSU",-0.037989857896769674,-0.06914946278843148,-0.07634780698991817,-0.0815171616957322,-0.08411247794222199,-0.08563857332675173,-0.08652908034764151,-0.08769014097774752,-0.08855510883957196,-0.09012056928396905,-0.09162604624389781,-0.0929639851237285,-0.09414257476619836,-0.09577387834550644,-0.09754055362111158,-0.09987688704214959,-0.1023021681589742
"India",-0.029417114409846512,-0.051922787485114696,-0.05006922083571341,-0.05035286359162949,-0.050614152564631976,-0.051886625872776815,-0.05282239665194144,-0.05420769724462371,-0.05523549257004934,-0.05710187774412567,-0.05901442368787535,-0.061463336319589335,-0.06402135800530617,-0.06727086191690157,-0.07090341426660984,-0.0752139650038286,-0.07995921684764706
"Indonesia",-0.16075407887176096,-0.3001262231103863,-0.3196584340341313,-0.34387636121692156,-0.3666015776900733,-0.39565486970541963,-0.4258538762989095,-0.45844676183619537,-0.4909744570095853,-0.5277009756584516,-0.5662774579987762,-0.6093780709117591,-0.6552918298610599,-0.7086392553513732,-0.7669494593585569,-0.8343906371798493,-0.9083682742819676
"JPNKOR",-0.049733284443886916,-0.0845754349455996,-0.08490929500868383,-0.08538143597764947,-0.08653601694574853,-0.08794288479603285,-0.08974510522459234,-0.09168205122527251,-0.09389628973118791,-0.09671173685117385,-0.10014415181137659,-0.10405455755226889,-0.10857747814106977,-0.11380202363203695,-0.11985171537025607,-0.12712518406451379,-0.135558751428011
"LACA",-0.0442318520449847,-0.0779717430957616,-0.07920537322857468,-0.08163196919083182,-0.08390074441815276,-0.0873050237343409,-0.09026061903325555,-0.09408823175033332,-0.09758448286468768,-0.10217522441473559,-0.10650728082201022,-0.11205369953946054,-0.11763278803857968,-0.1245318823088204,-0.13167907646109978,-0.1409102985468369,-0.1507898719499634
"MENA",-0.03766534647291486,-0.0663509801171247,-0.06667791997554406,-0.06775315342251176,-0.06854344681817004,-0.06986135637088164,-0.07117976975210549,-0.07308132621791641,-0.07494027235993572,-0.0775462832428353,-0.0801977206036586,-0.08338664204866619,-0.08674601929052894,-0.0907085490924664,-0.09484089248863459,-0.09945462366838242,-0.10407235765563794
"Mexico",-0.08868980129403958,-0.1547886947092625,-0.15664949122901062,-0.16090151682809362,-0.1652261276312572,-0.1715088526622055,-0.17707757709782834,-0.1853327364778723,-0.19398957852329035,-0.20656301457468995,-0.22033768627653938,-0.23806068762087795,-0.2571838955351846,-0.2819055697493078,-0.30963942315466175,-0.3453187153624082,-0.3856817429187642
"REastAsia",-0.06448096215418975,-0.1165796360824145,-0.12010069892918196,-0.12564134515856695,-0.13029823124270923,-0.13991519794761542,-0.15175989192476314,-0.16566637496792103,-0.17993154948431345,-0.1983861868067427,-0.21819284454870358,-0.24138300723269834,-0.26609275431723756,-0.29533817900745385,-0.3266191800042617,-0.36390868681553945,-0.40363778013934315
"REurope",-0.24441000115510425,-0.4094514138175742,-0.3952882374761546,-0.3872324648697911,-0.3824693003403601,-0.38126876686366273,-0.3814630888896109,-0.38694944938437725,-0.3942521550588829,-0.40465330491175067,-0.41619304652428246,-0.43085538793831146,-0.4478841632200248,-0.4669970779588417,-0.48772520341193726,-0.5108103268969044,-0.5364360052712236
"RSouthAsia",-0.32324018941854993,-0.5981176119340015,-0.6274069248485503,-0.652927422086691,-0.6557949736155755,-0.6759065827454891,-0.6900501841463735,-0.7139899291101481,-0.7311821828646203,-0.7622433648530436,-0.7891529259301477,-0.8268745908676989,-0.861151635199453,-0.906835929958183,-0.951783943735951,-1.0097117598224403,-1.0681069437211588
"SAfrica",-6.357635774500991e-4,-0.001187788915313348,-0.0013486680807250906,-0.001474811869739412,-0.001531618748629171,-0.0016012815472143949,-0.0016363818852727086,-0.0017255482903544284,-0.001806954456062826,-0.001929661302535468,-0.0020441392939329894,-0.002174172600954982,-0.0022923978676536727,-0.0024284093401716333,-0.0025568905156370114,-0.0027094873806143838,-0.002862571049788709
"SSA",-0.03671171111125915,-0.07261883103620859,-0.08325177030937825,-0.09539263207217763,-0.10284003465523828,-0.11600704529826089,-0.12687742897290466,-0.14170255170679047,-0.15298362040024882,-0.17066790104212082,-0.18530086426284953,-0.20400501068865706,-0.21910600820141957,-0.23890068185844493,-0.2557033111257212,-0.2756847457407341,-0.29239907413487476
"USA",-0.06700039803285707,-0.11738201183382202,-0.12068444427734137,-0.12527415659887575,-0.1312734281731731,-0.1378404581454995,-0.14463159489062072,-0.15203213348785605,-0.15920677946830164,-0.16816509006734037,-0.17770651994059028,-0.18842186956050666,-0.1997027968978049,-0.21231357436864995,-0.2254317229557823,-0.24068919290428648,-0.25695810426483723
"bel",-0.11405653589989795,-0.19321155678255764,-0.19034906314366884,-0.1939561104278953,-0.20271462045468036,-0.21324259033176363,-0.22502943448368118,-0.2374361208522413,-0.2495396780706538,-0.2623557665966003,-0.274955280525202,-0.2883025667788086,-0.3022913525683846,-0.3175176557312809,-0.3336911208450255,-0.351605724965387,-0.3711880297976422
"bgr",-0.007291878934245766,-0.01266314981022143,-0.012603320890403058,-0.012743102565271336,-0.013061740529429766,-0.01339934601096715,-0.013791232881610327,-0.014200393414942614,-0.014604696685061036,-0.015122351562346648,-0.015712648582055788,-0.01629350571195065,-0.016893782155358306,-0.01757378285563993,-0.018305410292707158,-0.01904954384451818,-0.01978692956223771
"cyp",-0.04204866029131615,-0.06915993557286004,-0.0638647640459844,-0.06121966588525929,-0.0599370674418509,-0.05969864896666621,-0.06000156984420357,-0.06079797397352538,-0.06167982380550496,-0.063270734040477,-0.06509914154516627,-0.06717884065439161,-0.06951056456900861,-0.07194852279023278,-0.07453110974283694,-0.07766126689505715,-0.08109197046604066
"deu",-0.13466616503592377,-0.22761066019043596,-0.228391045585985,-0.23131051134759328,-0.2350224544927615,-0.24047920123119182,-0.2466014728463417,-0.25402740147084657,-0.262585678356575,-0.2726277486777562,-0.2835784820855447,-0.2954712029168638,-0.30830444439384763,-0.32250486803149236,-0.33858253109870784,-0.3564487667992222,-0.3768772490518879
"dnk",-0.2894055780551019,-0.48730598437299877,-0.4778370444366353,-0.4808645405614098,-0.4932660149035817,-0.5156256738145015,-0.5410105454518588,-0.5709954760433456,-0.6013930423314329,-0.6376509683536868,-0.6757616642379616,-0.7211600303107857,-0.7711686702745579,-0.829480515657699,-0.893268498310873,-0.9676657564210434,-1.0503294747437275
"esp",-0.042787505719332763,-0.06474549246482386,-0.052778816233667314,-0.053869035635378815,-0.06146065727773431,-0.06438650801405821,-0.06458340796675621,-0.06596164095016288,-0.06787612949107347,-0.07099244767000412,-0.07477968471384377,-0.07924285854519209,-0.0843943995652352,-0.09084858098500348,-0.09837988347964899,-0.10751142859107832,-0.11788899270586128
"est",-0.01560519950407624,-0.02773476813788811,-0.02918433622156602,-0.03090149951963106,-0.03266046267541567,-0.035205655918479906,-0.03857739273229743,-0.04222391044996776,-0.046080151836258576,-0.050692145933239896,-0.05570914745794964,-0.06107601854479228,-0.06684883294514332,-0.07314397933946282,-0.08001759319247181,-0.08977964510111791,-0.10163691967871591
"fin",-0.12086218771247825,-0.2021124637624716,-0.19706378154356052,-0.19436958723803022,-0.19336838513744903,-0.19427469213898485,-0.1960091369914485,-0.1985186030678876,-0.20053765542130675,-0.20358350544789072,-0.20670655740024912,-0.2110249807154574,-0.21620891923108676,-0.22323929366200312,-0.2313247583080602,-0.23991309948570017,-0.2490790279541466
"fra",-0.08596960348203897,-0.1460713495259447,-0.14481416456433305,-0.14732754681581195,-0.15255573561855362,-0.15907800072113565,-0.16588335004092958,-0.173064166253023,-0.1797517744406507,-0.18771967688276936,-0.19591206521659688,-0.20508284230165152,-0.21459234950582662,-0.2254698490513518,-0.23691838802377685,-0.2504757720964035,-0.26540028054843345
"gbr",-0.10940795097101885,-0.18401295700970488,-0.17860583060100854,-0.17604604260617052,-0.1751206666159466,-0.1748260344301089,-0.1737867643061608,-0.1734635377649174,-0.17292771374098903,-0.17425458135090777,-0.1762079229365887,-0.17921899238860783,-0.1829736536884119,-0.18773516407896151,-0.1931930401795512,-0.20009754267633628,-0.20809106021494328
"grc",-0.1030306277251869,-0.17208222343159107,-0.1634745684416794,-0.16253339594139993,-0.1674162636652876,-0.1740989587191044,-0.18153590330952651,-0.19079251318220303,-0.20097915508406894,-0.21008920133460673,-0.21893646101238673,-0.23668077835921064,-0.2606846063038848,-0.2839287943267266,-0.3073645515427881,-0.3337084546730762,-0.36258926642155354
"hrv",-0.03399927415582704,-0.05423852566038834,-0.0474654140819486,-0.04451077041925933,-0.04434998556830383,-0.04481412686691,-0.04610177328544518,-0.04758244015306001,-0.049365681030799635,-0.05150034151414351,-0.05393258119085198,-0.056555192705376456,-0.05939868620442601,-0.06246582817172053,-0.06573238133985582,-0.0691714010922162,-0.07267806897774953
"irl",-0.07400684069366337,-0.12141639256497694,-0.11100498182997631,-0.10674118036216873,-0.1064108378807993,-0.1054915655339217,-0.10324349823627177,-0.10293218153982764,-0.10355137949370485,-0.1059686468011467,-0.10964628723346692,-0.11442426959387131,-0.12048520079436242,-0.12773356873029273,-0.13614786841597004,-0.1467440278985377,-0.15902014171772505
"ita",-0.03661553324234568,-0.06113378607578435,-0.05911033878207572,-0.058704059344183435,-0.0595756107185097,-0.061436958927196805,-0.06385342614129152,-0.06681867368382166,-0.07011777988235046,-0.0741502707392816,-0.078687312490755,-0.08400634226076731,-0.09005401338917363,-0.09722154778741832,-0.10528555180784327,-0.11469143457473185,-0.12527820449201865
"ltu",-0.052013093150282685,-0.08750249205918825,-0.08437522533085717,-0.08422325357481109,-0.08712038972713554,-0.0909906925582682,-0.09653250625132337,-0.10201570927772519,-0.10808854645651955,-0.11577633422455991,-0.12478062636929188,-0.13433846362980173,-0.1446122912340586,-0.15575494673614187,-0.16761525347694928,-0.1813216008379137,-0.19603571580550927
"lva",-0.0843597205890001,-0.14636095834578144,-0.14794401651675448,-0.15085979205944344,-0.15592505434972592,-0.16313883284727604,-0.1729744932370325,-0.18365131979977134,-0.19497279602265216,-0.2081575607132069,-0.22222947003125437,-0.2367214118592198,-0.2520331001258036,-0.26986399288994045,-0.28941479964418315,-0.3104858241061881,-0.3319945236637478
