"ICES_ACCREU","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AUNZ",-0.025729347109215706,-0.044618399248574914,-0.04471716474520049,-0.045267541725924065,-0.045647938490622764,-0.047060206751903255,-0.04855046445141342,-0.050447178527923686,-0.0522429483630682,-0.05525303415888638,-0.05857322601008352,-0.06259007833505636,-0.06681429444695963,-0.07209258448417355,-0.07786778546887696,-0.08338970484559338,-0.08884024508818422
"Brazil",-0.026513688310225714,-0.04658122910703444,-0.04815680769022501,-0.04854050745358718,-0.04758728679985502,-0.04635569736823886,-0.044376417401092993,-0.042745250805975576,-0.04107127372448005,-0.03988635187360812,-0.03885544311599265,-0.03830380200637862,-0.037979187285586136,-0.03806005914556154,-0.03835989019103092,-0.03905115376102719,-0.039951492663237165
"Canada",-0.021467532877350592,-0.03621917987266521,-0.035246104240549414,-0.034694101805554656,-0.034169804570860496,-0.033990935228345176,-0.03383866186842388,-0.03408267481564975,-0.034450041886691096,-0.035238150637473264,-0.0361799675344443,-0.03741377571385707,-0.03881624510347903,-0.04042986633643331,-0.04220668779777448,-0.04371715292875722,-0.04518286508228275
"China",-0.00596851004919241,-0.010685049042846728,-0.010878112585777089,-0.010913571751514084,-0.011008512782506585,-0.011040064672451777,-0.011115187246335534,-0.011013689225414236,-0.010852901148983296,-0.01072075552724927,-0.010635915250911676,-0.010587801344241754,-0.01063191560608523,-0.010714322914506802,-0.01085835975499494,-0.011039140975188655,-0.011259023914578226
"FSU",-0.007978787299645074,-0.014342346542617346,-0.015582356650956086,-0.01640777354444678,-0.016730116775853787,-0.01676429533459256,-0.016646647152329663,-0.016580388237574795,-0.01647516313304509,-0.016523340362706307,-0.01658756870654976,-0.016582169990742024,-0.016537577116737534,-0.016587814931423583,-0.016680077680830685,-0.016662742060746805,-0.01656125897466776
"India",-0.007475709412774201,-0.012962483892520194,-0.012256955195699692,-0.012043235613268255,-0.011857031006679009,-0.011850267447299778,-0.011782540712712564,-0.011775760548393688,-0.011706761470364757,-0.011778657778260815,-0.01187026731437335,-0.011991590662041585,-0.012118985344766742,-0.012323917485634883,-0.012590011267332724,-0.012882127901336915,-0.013213188975580437
"Indonesia",-0.009194120432454156,-0.01697460053949884,-0.017856022628703894,-0.01896885380100466,-0.020009559959910383,-0.021252677063376968,-0.022516418872620125,-0.023745347451242793,-0.024916487944415255,-0.026325459014220343,-0.027859468001756316,-0.029457697297374796,-0.031120611791934927,-0.033110170448191756,-0.035331765841062346,-0.037358415753308005,-0.03933108516788186
"JPNKOR",-0.02212280303582892,-0.03799169382137091,-0.038681576987043,-0.039222991832066345,-0.039953705176398735,-0.04061005598657852,-0.04133534435756259,-0.0418700535954164,-0.04238124311062297,-0.04303532647443875,-0.04388947756635009,-0.04487639035617441,-0.046080223775690765,-0.04755884944629418,-0.04936614327276656,-0.051436525642889475,-0.05381251152896116
"LACA",-0.027275050523734023,-0.047107352410658,-0.046631275985531406,-0.046855835696224535,-0.04710427720624466,-0.047738830982080316,-0.048131952943164524,-0.04882446754556069,-0.04937316968112171,-0.05022408611161655,-0.05093390791482966,-0.05198783269119156,-0.05303848203713768,-0.05456982102183261,-0.05623495532173228,-0.05809322796022087,-0.05994542222805821
"MENA",-0.0013896603898388982,-0.002421346935521651,-0.0024005866766430017,-0.002405042600361895,-0.0024022966948145097,-0.002405326242327366,-0.002406044299274601,-0.0024098700725061484,-0.0024085488291025747,-0.002430401194331022,-0.002457230277286282,-0.002493342876241922,-0.0025337763074895214,-0.0025960437625038857,-0.0026678170371385868,-0.0027463151684337106,-0.0028232146442985773
"Mexico",-0.010314626722773834,-0.018003503781927055,-0.018215396751630752,-0.018657173136205074,-0.01909001977773439,-0.019701698382557087,-0.020218481901468355,-0.020930452190959237,-0.021648790957340402,-0.022680867191426923,-0.023803750113082778,-0.025159153790521582,-0.02658657031094913,-0.028397773195409926,-0.03043346564680638,-0.03280433153289852,-0.035400435000276786
"REastAsia",-0.017151345358912273,-0.030199126794039355,-0.030166551466814795,-0.030241742921510717,-0.030093621109505975,-0.030704294553995926,-0.031744975153980004,-0.032894649620796024,-0.03405337498885164,-0.035653187009510034,-0.03741320368141343,-0.03935070974455668,-0.04139464696043538,-0.04384635826282235,-0.04650693262971961,-0.04931558521940049,-0.05213302585755919
"REurope",-0.08937850092806121,-0.14840255621151321,-0.14129946472484223,-0.1368094634246697,-0.1338064268292638,-0.1316566099444305,-0.129894885657178,-0.13021604758067795,-0.13138908669385607,-0.1337772168345408,-0.13669178838018325,-0.1405024057480886,-0.14504587952994807,-0.15109461369663402,-0.1581545089505143,-0.1635457857810274,-0.16832578978355217
"RSouthAsia",-0.017016788680390693,-0.030883278852789076,-0.03168983646456569,-0.03231200550555258,-0.03191990733933947,-0.03222771901704169,-0.03228978348146505,-0.032743680529367936,-0.032937890302420225,-0.0335699982976001,-0.03401953591821716,-0.03468011021505735,-0.03516677635587717,-0.0359213672649461,-0.036635527606032614,-0.037480472481843385,-0.03825025365076229
"SAfrica",-7.042736125950633e-4,-0.0013050499702349505,-0.001467432457114004,-0.0015822565888501394,-0.0016202035524104375,-0.0016393324256180897,-0.00161566337438801,-0.0015950307918788376,-0.001558408442559056,-0.0015476851282225645,-0.0015374809557822111,-0.0015592887070758898,-0.001587970185590315,-0.0016607578581462334,-0.001745462053648339,-0.0018334348432236247,-0.001915918903261371
"SSA",-0.005500658387813662,-0.0106979566215748,-0.012061810950758645,-0.013542489554152493,-0.014363336192346754,-0.015810538837524035,-0.016940553843514117,-0.018460066969416822,-0.019530380134713532,-0.021080840270348844,-0.022220960308094728,-0.02372648044041137,-0.024852559643806504,-0.02644751580257454,-0.02775664204953676,-0.029442864983086903,-0.03084213519791712
"USA",-0.0165817662172274,-0.028425690509981116,-0.028377724440120655,-0.02867410104415713,-0.029344388489305206,-0.030173389903009884,-0.031093832269168953,-0.03211612730356084,-0.033098600782477394,-0.03430664162314967,-0.035578327625396255,-0.037056708911975544,-0.03865060049036417,-0.04035971528206783,-0.04210299262076278,-0.04396097745286154,-0.045861403930858025
"bel",-0.0018036067681581613,-0.0030405771154207173,-0.0029731173741498473,-0.003009300982381724,-0.0031275935744479177,-0.0032634732014868995,-0.003413981611677386,-0.0035691120332748127,-0.003718032852595421,-0.0038735569855785634,-0.004024690880799486,-0.0041949802983887174,-0.004380049577290546,-0.004592126451907763,-0.004823588479851981,-0.0050319212805183255,-0.005234978111123834
"bgr",-1.3543735460919137e-4,-2.297117020155781e-4,-2.216803764665265e-4,-2.1914663405064871e-4,-2.2086036035595669e-4,-2.2673963107067152e-4,-2.3550928487381384e-4,-2.431586525131202e-4,-2.499238998532327e-4,-2.55366968071602e-4,-2.603125603295453e-4,-2.628605239252124e-4,-2.645663177425206e-4,-2.6813814065773656e-4,-2.7303285154989254e-4,-2.7662482978696445e-4,-2.7937342365058626e-4
"cyp",-0.0011150456998065827,-0.0018331609896837797,-0.0016913606794788372,-0.0016198734142158777,-0.00158463228080441,-0.0016037815800840072,-0.0016486313897501326,-0.001700102468782383,-0.00174856637750187,-0.0018122349622506917,-0.00187909188761326,-0.001954194798681197,-0.002036663540372352,-0.0021234912920164994,-0.002214892543905833,-0.0022752050935714863,-0.0023173205979443168
"deu",-0.00446035765726549,-0.007506613937602324,-0.007478047063758098,-0.007515176261529977,-0.007578025601906457,-0.007691595491887693,-0.00782557930555372,-0.0080045898839142815,-0.008222850823014216,-0.00848109192636004,-0.008765049559256166,-0.009089509634374604,-0.009450602612670611,-0.009927849869295624,-0.010509297204208679,-0.010974580299527581,-0.011407647329031434
"dnk",-0.07069254414178161,-0.11814021714340317,-0.11443622698672495,-0.11384085356300755,-0.11558696803730673,-0.119358381846979,-0.12374497614585644,-0.12936432506217566,-0.13523471885985572,-0.1422844378483168,-0.14971511755688116,-0.15909840353640625,-0.16971714262802307,-0.184791134691209,-0.20260085980184916,-0.21633420906259637,-0.22800760863417313
"esp",-0.0017770861702737228,-0.0029347903075960247,-0.002772555625751849,-0.002694468964270502,-0.0026692500461278357,-0.002659555565376337,-0.002653116052042659,-0.002689668274458157,-0.00274622808866809,-0.002854368174487476,-0.002991895381387888,-0.0031650532810734155,-0.0033708219579486887,-0.0036459935356392137,-0.003974674654094734,-0.0043718170896767106,-0.004821624982642714
"est",-0.014517817733972205,-0.025321611846507164,-0.025997259645083037,-0.027160455485952806,-0.02850673186250985,-0.030147811302949634,-0.03229151430392818,-0.0345493301855293,-0.03692516183463335,-0.039894900277304135,-0.04319520850113445,-0.046730102306613563,-0.050558135645051294,-0.05635859656967224,-0.06361471029721066,-0.06690885356176457,-0.06773740056160715
"fin",-0.03874507668453209,-0.06379929654799499,-0.060717574686364184,-0.05914157857701552,-0.05853244717584083,-0.05803599506823964,-0.0575680921068078,-0.0572873780197769,-0.05689621210707152,-0.057151519404330386,-0.05765383788830514,-0.058180618560144115,-0.058794211335710944,-0.060611399728704995,-0.06312624059860994,-0.06184728682796514,-0.05845328601431499
"fra",-0.003977151720158112,-0.006727271588291561,-0.006623761192947608,-0.006700525405445301,-0.006906645402116052,-0.007126344708185961,-0.00733751994405063,-0.0075516161215150035,-0.007741180688991545,-0.007976761265493515,-0.00822128865255456,-0.008510306413145319,-0.008818627409079571,-0.009181841264205293,-0.009570178089790549,-0.009960469673875316,-0.010359697522266398
"gbr",-0.01822271957442334,-0.03062376425619906,-0.029675371391568728,-0.029165337307190953,-0.028914992379480697,-0.028682637859034354,-0.028298175320851104,-0.02808314821385327,-0.027871314054705998,-0.027985029914134874,-0.028218543435876153,-0.028660334533658904,-0.029243879762408387,-0.030098231039787926,-0.031123201556992885,-0.03210370701115517,-0.03310069993609499
"grc",-0.003364813801254307,-0.005541317905577436,-0.005156180823406853,-0.005052032003871609,-0.005151051892327008,-0.005316658038068134,-0.005513240835541833,-0.005742227362182106,-0.005988532362988241,-0.006307784208325895,-0.0066788562594011225,-0.00711082244926331,-0.007607676826870691,-0.008286021718839631,-0.009097324029128107,-0.009857351260234015,-0.010604701422844975
"hrv",-0.00851209733495617,-0.013449665058717919,-0.011598849660043875,-0.010902991965866526,-0.010988254445531975,-0.011245756554389974,-0.011717517424025825,-0.012175502492350887,-0.012671860932533807,-0.013267496129754086,-0.013944813964361646,-0.014698497901455276,-0.015526323811254628,-0.016456084859450826,-0.017465588744436378,-0.018320174846941928,-0.019063050021417283
"irl",-0.031040642837598664,-0.05075933052099968,-0.046181920190979664,-0.04406291683765051,-0.04355067285649605,-0.042731505407123116,-0.04138302015179729,-0.04071579366791145,-0.04040812826221485,-0.04082216773164671,-0.0417566182995599,-0.04305096065545522,-0.044805928378044424,-0.047033651406913624,-0.04971729847093043,-0.05253690503773667,-0.055563958980231476
"ita",-0.0013659081321670818,-0.0022629403465757036,-0.0021622408495125534,-0.0021382903924838104,-0.0021704733636607187,-0.0022259201263419293,-0.002294835491611913,-0.0023760392140026454,-0.0024656162019853767,-0.002578445409251451,-0.002708050652899807,-0.002868557349722245,-0.0030567270699388693,-0.003288254882038988,-0.0035536411784331534,-0.003821374706114433,-0.00410116251045034
"ltu",-0.004121489490849228,-0.006866224044510538,-0.006527766459896167,-0.006442636375891819,-0.006603833839113893,-0.006816649742313885,-0.007141700545332252,-0.007435034574443389,-0.0077531428039456785,-0.0082831372526182,-0.008970922644635504,-0.009683088334877521,-0.010436655072898482,-0.011453981567066673,-0.012660727794699955,-0.013408929850122764,-0.013829471422976969
