"ICES_ACCREU","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AUNZ",-0.026605344573327194,-0.046330061138577516,-0.046684036886668334,-0.04762382165612866,-0.04840076850995967,-0.05022148554701955,-0.052072273300463046,-0.05468627521946212,-0.05730821410745435,-0.06118098193097499,-0.06531657014595682,-0.07036052565958517,-0.07567859564775459,-0.08187676488428108,-0.08845739623216664,-0.09625646125971388,-0.1048008839700465
"Brazil",-0.027155382164045783,-0.04816814392500923,-0.05041836066281835,-0.05138335264728289,-0.05086094769669591,-0.050187035279236625,-0.04869188350168363,-0.047399078838161746,-0.045927209747076425,-0.045001448103221264,-0.04421452208842602,-0.043967333642247475,-0.04395164836994425,-0.04429086628335854,-0.04481184101334801,-0.04579208879258445,-0.04701059591982748
"Canada",-0.02281795410652432,-0.03896372172952356,-0.03856066643146416,-0.03864237832958972,-0.038704010014745105,-0.03902638537921499,-0.039274141562506415,-0.0397085279091991,-0.040138981725845735,-0.041110068991778714,-0.04228387682124746,-0.04373803012909239,-0.04535565222908433,-0.04722059819787239,-0.049277120283275355,-0.05183020326797738,-0.05479528294893843
"China",-0.005479293179966316,-0.009963329987816572,-0.010323425382419149,-0.010547473649058503,-0.010827418511882847,-0.011058019432330646,-0.011332830306887143,-0.011443207795180932,-0.01149615530285919,-0.011544626055048912,-0.011619065833767817,-0.011741037637758023,-0.011969100282205325,-0.012217748138376727,-0.012521853084968004,-0.012870343797910522,-0.013265222121983111
"FSU",-0.008503427724448898,-0.015510208729563324,-0.01716739308216253,-0.018378802003760075,-0.019012036353460715,-0.019430725017632877,-0.01971605788684272,-0.020019010017702232,-0.020228629724805547,-0.020425042885197087,-0.020525353221745313,-0.02081328542112848,-0.021188027817720112,-0.021491198576051307,-0.02173104408617066,-0.022100369691990807,-0.022497275135724415
"India",-0.007448337827142826,-0.01311608393388397,-0.012614845721925505,-0.012643505456977344,-0.012670272201242838,-0.012928798218436732,-0.013102698180811334,-0.013386183832975185,-0.01358666185304891,-0.013944517974073811,-0.014299805338169325,-0.014730443836674656,-0.015170601249758775,-0.015721184088279827,-0.016343446298650033,-0.017062082579899496,-0.01785590081054833
"Indonesia",-0.008653251687984476,-0.01617003237064374,-0.017228473708108538,-0.018544674457543486,-0.01978152199100247,-0.021340719160556354,-0.02295387219027889,-0.02464247076578996,-0.026304648657471397,-0.028241301250309103,-0.030305111190287448,-0.03253720043173702,-0.03488118531891349,-0.03757699131886616,-0.0405152716384638,-0.04406669778110883,-0.048043953702126
"JPNKOR",-0.022655933596227307,-0.03941387974067956,-0.04086882257158253,-0.04217058942151963,-0.04366705888994016,-0.04515087299105103,-0.046740020166069485,-0.0482003023562827,-0.049678327870650296,-0.05117552401092684,-0.05281125083572702,-0.05484475899841801,-0.05729511379521934,-0.05997212709331068,-0.06298919347149656,-0.06623761145743146,-0.06981225410551684
"LACA",-0.023728246226550898,-0.041411956003056805,-0.04154251747441329,-0.04211775305235088,-0.04260020944748533,-0.04347930787700349,-0.04413174994342128,-0.04508459686182187,-0.04589158162597862,-0.04718962276848426,-0.048420706362262145,-0.05006589366191028,-0.051711400806120356,-0.05376813278918924,-0.05589586446019812,-0.05842450529636167,-0.061029404358137196
"MENA",-0.0014229376047558695,-0.0025050619080868586,-0.0025150939828022523,-0.0025445657136802247,-0.0025609259222458824,-0.002597134575010873,-0.002634448342908602,-0.0026752074777536272,-0.0027077265787212035,-0.002767845205819963,-0.0028320787879621,-0.0029154069447479003,-0.003006187223242307,-0.003112254937420733,-0.0032224455345231107,-0.0033450924690869854,-0.0034670931112645853
"Mexico",-0.01066326943081064,-0.01880954002234647,-0.019288018172125554,-0.020026714500354093,-0.020740237636984737,-0.021727895589707114,-0.02262155112486841,-0.023724775710376456,-0.024810207353376246,-0.026238609095718957,-0.027749098281226736,-0.02961666813900976,-0.03160165684469307,-0.03397321721150259,-0.03656633909058238,-0.03959435607779893,-0.04290802456581311
"REastAsia",-0.01741944974316123,-0.031192227473209044,-0.03177854440125083,-0.032554973631471196,-0.033043643769681275,-0.03448162190310411,-0.03640145011133411,-0.03860141369999015,-0.0408417206280709,-0.04367388428614394,-0.04668795335139864,-0.05006378347290896,-0.05361807399476559,-0.05765561634796246,-0.06191260467592885,-0.06712641766252192,-0.07275206019324854
"REurope",-0.09367924357646107,-0.15710707286495929,-0.15179240011672368,-0.14867778544069843,-0.1467586390620279,-0.14663112732046235,-0.14723617014171797,-0.14958645418838845,-0.15246778645726655,-0.1565678063413123,-0.16111594064666113,-0.16670159891930547,-0.1731103008454249,-0.18017320858766395,-0.18778041892900665,-0.1973106588381568,-0.20842282876742946
"RSouthAsia",-0.015485080955401909,-0.028276464453580452,-0.029209446904543412,-0.03006833969705358,-0.0299708203797433,-0.0306050109548206,-0.030985937125849183,-0.031822735204023456,-0.032392200012421046,-0.03340167300263097,-0.03419231261972966,-0.035325432152044645,-0.036298848481985946,-0.037532602774159596,-0.03868242961869717,-0.04008501220741367,-0.041432050009682087
"SAfrica",-7.590710353166941e-4,-0.0014231976282363945,-0.0016227063759810534,-0.001774899355655446,-0.0018408642493694671,-0.0018835757252588792,-0.0018737136329161075,-0.0018580851713578816,-0.0018188725432022324,-0.001819092750121598,-0.0018227186937447293,-0.0018399551540482229,-0.0018546491661886044,-0.001879655586067841,-0.0019025808179362613,-0.0019347797643454179,-0.0019676018061298706
"SSA",-0.005595863578367055,-0.011055030665263477,-0.012656968883317798,-0.01447377614288703,-0.015577581818537745,-0.017426021474908904,-0.018906669446272506,-0.020889360042042338,-0.022348446283737555,-0.02444634239370247,-0.026058823082830695,-0.028223220260081838,-0.02993712285913608,-0.03208292921637046,-0.033800743153944435,-0.036024402664236455,-0.03790009738373623
"USA",-0.01675525985057602,-0.029070858823820878,-0.029500070735655193,-0.030248064069604563,-0.03135301906147525,-0.03263131761735982,-0.033994693260575026,-0.03535413399088361,-0.03659475279348401,-0.03817563634899157,-0.03986914551100673,-0.04171886918821199,-0.04364909096592484,-0.045674916473703586,-0.04771642298475598,-0.05001892081417658,-0.05244307573579743
"bel",-0.0017066405452181854,-0.0028945457529072627,-0.0028549775750286166,-0.0029133567527539483,-0.0030494423039928442,-0.0032134577678033516,-0.0033970241542391477,-0.003582225344966883,-0.003758449114543705,-0.003941791003059247,-0.00412008850840806,-0.0043062048621589355,-0.004500228194981304,-0.004699542549002622,-0.004905477868344388,-0.005143722195899425,-0.005410897696389583
"bgr",-4.131727843192934e-4,-7.19211157829136e-4,-7.179276847679716e-4,-7.242091785930604e-4,-7.390451943423137e-4,-7.572163755242833e-4,-7.796562221384917e-4,-8.091188409387051e-4,-8.413499108961275e-4,-8.74964799923994e-4,-9.097445980543739e-4,-9.486738172470588e-4,-9.913622652346632e-4,-0.0010441421096296644,-0.0011029331256962038,-0.0011419181099481257,-0.001168145940355636
"cyp",-0.0013420944564912496,-0.0022503471491019944,-0.0021345054183274925,-0.002081669882492143,-0.0020606596262462418,-0.002066469707873164,-0.0020856604578511906,-0.002159052506167658,-0.0022515749573237542,-0.002348538108565279,-0.0024408322148894435,-0.0025566804846000046,-0.002688614865609118,-0.002812001626317784,-0.0029329874514094634,-0.0030933969212720847,-0.003275258954260618
"deu",-0.004483656786280488,-0.007600040892286053,-0.007654286394265242,-0.007781695660702415,-0.0079353555843098,-0.008153796452869955,-0.008396919923703283,-0.008666286138603319,-0.008963225674984976,-0.009303569904328679,-0.009670646452553111,-0.010075344440840794,-0.010515536829369676,-0.010978680925766149,-0.011491085584425242,-0.012137602355066779,-0.012919038451508769
"dnk",-0.07411706700952703,-0.1255809928429219,-0.12412422609677787,-0.12608843044320528,-0.1305487326364707,-0.13796717733158825,-0.14628669071817813,-0.15543831976956302,-0.16442650301529138,-0.17473905708009774,-0.1853880410725317,-0.19821572322181735,-0.21240648175145926,-0.22824216334362823,-0.24521231566060342,-0.26623031045873713,-0.29021560772068966
"esp",-0.0018744229469236373,-0.0031353175486747986,-0.003018484254235787,-0.0029745384125035024,-0.0029769574091065287,-0.003014456799022014,-0.003062056065095131,-0.003196196327726053,-0.0033688946621257543,-0.003602077187792041,-0.003866419723819181,-0.004195125273243061,-0.004575321001576427,-0.005044015473509855,-0.005581276931521106,-0.00623442048266476,-0.006973612879634938
"est",-0.01682993716437542,-0.029881150612665053,-0.031402216254394766,-0.03351618514054744,-0.03581397500894701,-0.03883495607558407,-0.042686665667435175,-0.046358339138408144,-0.04997785877441929,-0.05415400451486141,-0.058623689937609136,-0.06349352872506708,-0.06881204205821945,-0.07457266341092117,-0.08086455856504138,-0.08973440848238923,-0.10049353328195343
"fin",-0.04065119564417019,-0.0681087447452211,-0.06657027321842479,-0.06605974554690919,-0.0662286868614248,-0.06674725343261967,-0.06737272896384372,-0.06775025885451536,-0.06770075751055815,-0.0679292600631487,-0.06818290945201921,-0.06892755433288711,-0.07003281713103826,-0.07121201115773967,-0.07245828222446349,-0.07509445775565338,-0.07864623405408055
"fra",-0.003883510398416945,-0.006600036639847762,-0.006542732599990053,-0.0066334892377284405,-0.0068360727949023925,-0.0071053083998684485,-0.007393026531310465,-0.007693722611135101,-0.007971259718508872,-0.008286302042459504,-0.008602046326144919,-0.008965797841731238,-0.009348589094804183,-0.009751548042913338,-0.010158474995280997,-0.01059312037255955,-0.011052088532648163
"gbr",-0.017695375060133856,-0.029904487557685933,-0.029210922986155907,-0.02891650643414012,-0.028849755703330704,-0.028976062291252713,-0.029010858731237654,-0.029127107977533484,-0.02917696440799533,-0.029514890717330378,-0.029938412060370734,-0.030562524363519916,-0.03132018925293689,-0.032224217824650125,-0.03323011097899897,-0.03460695036725525,-0.03623829958325775
"grc",-0.0037138966427319176,-0.006248999382307829,-0.005995102344324987,-0.00600630519442813,-0.006222984627157757,-0.006563183639840542,-0.006957760608139463,-0.007457293446488933,-0.008007168492529804,-0.008712391635601335,-0.009514356678408387,-0.010500039264493832,-0.011634486133438315,-0.012911559920181226,-0.014306663842866829,-0.01593799625649872,-0.01775175756855152
"hrv",-0.00936961289953464,-0.015143046086329992,-0.013506766274284931,-0.012864961713388023,-0.012982363650504425,-0.013386840933449218,-0.014091542034577742,-0.014855988224238281,-0.015711548176455814,-0.01675401258801612,-0.017935201349528196,-0.01926143854440454,-0.020711626704261743,-0.02224273420238232,-0.02384363391867428,-0.02544211324375656,-0.027020264210098066
"irl",-0.030925207880327932,-0.050786126089996664,-0.04648540401985812,-0.044737110177051065,-0.04462529357820433,-0.04424832702649706,-0.04330438548437732,-0.043053414842653126,-0.04314155597283653,-0.04384188685163659,-0.045005741840109525,-0.046687772735165556,-0.048937168950047294,-0.051583636770857755,-0.05465470585378496,-0.05841374127711907,-0.06273292058868174
"ita",-0.0014760533124991149,-0.0024816007920036576,-0.0024237913014202306,-0.002418140329940588,-0.0024572561588276365,-0.0025444077725200742,-0.002658151034062861,-0.0028080897349291867,-0.0029789443653727155,-0.0031822023613958805,-0.0034070515567363735,-0.0036650179615294043,-0.003953924498323325,-0.004283833944163096,-0.004647911791999526,-0.005069335251073337,-0.005541711799406102
"ltu",-0.004236120465861415,-0.0071566204900452846,-0.006940061527427321,-0.006996400142167403,-0.007318569666781016,-0.007747320339712704,-0.008333028880957993,-0.008878116477095688,-0.00945228016827615,-0.010179119737352416,-0.011028970600657217,-0.011954307078476667,-0.012961558543111984,-0.013973101807618349,-0.014999198228837773,-0.016374122965556737,-0.017963205306370522
"lva",-0.017692484772913186,-0.030660168816432076,-0.030934344193001007,-0.0316785168525624,-0.032964981368832635,-0.03457747656457899,-0.036672030438356096,-0.038675553355582704,-0.04065830581337915,-0.04289671183339561,-0.045249470606956166,-0.04774471227828592,-0.050445057944359384,-0.05329387270077701,-0.056268023123118294,-0.060312695023589935,-0.0649356833225756
"mlt",-3.4856608430722247e-4,-5.83304076118285e-4,-5.436987586260322e-4,-5.364212143477154e-4,-5.503177534893489e-4,-5.753514889850209e-4,-6.13695675455439e-4,-6.5141453743367e-4,-6.913535372743418e-4,-7.338230551989788e-4,-7.786934310582971e-4,-8.243144389852297e-4,-8.727200992764139e-4,-9.167738174165052e-4,-9.600947001309201e-4,-0.001002664140081766,-0.0010437247824568452
"nld",-361665338.57470655,-8916347520755.916,-8052079931161.754,-8004015834097.205,-8657903033437.272,-9766627812615.398,-11183285628364.922,-12915456685195.49,-14982115800869.13,-17517774250899.848,-20527989434963.344,-24358195515814.684,-29159652661468.438,-35058956226102.43,-42355715731940.02,-51267077380006.63,-62097896513332.375
"pol",-4.623428336070212e-4,-7.8704339436797e-4,-7.673730852864047e-4,-7.652344645725506e-4,-7.782800304334536e-4,-8.019139619674931e-4,-8.421477230124985e-4,-8.820925930463908e-4,-9.262517319696961e-4,-9.798174994357645e-4,-0.0010429748720008902,-0.001111691634647638,-0.0011898288982625793,-0.001268272150900529,-0.0013491526705600165,-0.0014512697132040842,-0.0015671258439153846
"prt",-0.0065839016177182685,-0.011774397174224571,-0.012276913183195681,-0.012173467776810387,-0.011864359821478487,-0.01222142348401567,-0.01290665730079299,-0.013576084330146898,-0.014226098619440908,-0.0150310002091536,-0.015949930635161813,-0.017027917368972467,-0.018271371233169464,-0.019557718693796744,-0.020934923165671915,-0.022725277578206082,-0.024848414311418043
"rou",-0.0034377144781161384,-0.005927062084687407,-0.005885811465677904,-0.005925478446500154,-0.006075201143096454,-0.006327745720768885,-0.006714554211328938,-0.007126980884386569,-0.00759362655585738,-0.008137549557751811,-0.008753487511714564,-0.009428084044749152,-0.010172942569897092,-0.010969870990540365,-0.0118081792018776,-0.012592565100910669,-0.013327606762114641
"svn",-2.2635410047433524e-4,-3.789567627143775e-4,-3.627404329131778e-4,-3.5984575433856136e-4,-3.674387654695188e-4,-3.804384799299676e-4,-3.9835614689121e-4,-4.1695987731404927e-4,-4.3515359411383514e-4,-4.564569599740942e-4,-4.7973032848425134e-4,-5.044414846056e-4,-5.312922442324286e-4,-5.597497374165705e-4,-5.907744040523077e-4,-6.239843242994425e-4,-6.60216175185635e-4
"swe",-0.01936110934434021,-0.03238347153516896,-0.031110908454123898,-0.030569292415727478,-0.03050323726747628,-0.031000253953628043,-0.03183681501324198,-0.03252281885595121,-0.03302842839649767,-0.0338080383615158,-0.034654234575759446,-0.03569173963257066,-0.036849039629172076,-0.038054293362499436,-0.039306134667893566,-0.04138793090604498,-0.04402238772374112
