"ICES_ACCREU","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AUNZ",-0.05510103289155799,-0.09598839443883955,-0.0967819110119339,-0.09887112888492533,-0.10064510399339088,-0.10464716046280076,-0.10871923955626528,-0.11448224650663086,-0.12028660986004303,-0.12876451792468435,-0.1377960501673603,-0.14876863601440693,-0.1603166510953602,-0.17376100979545894,-0.1880214862844065,-0.20475654776833663,-0.22300515173182545
"Brazil",-0.030486753902048136,-0.05401918607430556,-0.056465794666882285,-0.05746391458024691,-0.05680227795894499,-0.05594954455703238,-0.054183491201353906,-0.05266114281138323,-0.05095656449711772,-0.04985864435117504,-0.04892097317809041,-0.04858951569814973,-0.048522324255872995,-0.04887883836099949,-0.049453492499607066,-0.050522768030369924,-0.051848854930469646
"Canada",-0.02893996120715281,-0.049351900696337214,-0.048753239884125055,-0.04875545006963744,-0.04873573499021289,-0.04902488269624694,-0.049219856259097305,-0.049659694028025836,-0.050106697461338445,-0.05122250316758059,-0.05259323899656776,-0.054322640865378524,-0.056263717631777066,-0.05852608649465907,-0.06103568058221098,-0.06411264238177505,-0.06767307065690398
"China",-0.0349884852763549,-0.06358245744410018,-0.06584333204394666,-0.06725878301834243,-0.06904042106168351,-0.07051288676643841,-0.07226986893925647,-0.07298860201701007,-0.07334641038063694,-0.07368318671426843,-0.0741894071476179,-0.07505430175427374,-0.07663050967409157,-0.07835033833339944,-0.08043305781805232,-0.08281292386761452,-0.08549853106464278
"FSU",-0.03793110385165166,-0.0690605955874779,-0.07627477477585298,-0.08143550453316717,-0.08401108381091982,-0.085563370613706,-0.08650256992835947,-0.08745187698315782,-0.0879801588050233,-0.088841119600791,-0.08949161560114494,-0.09015415973551155,-0.090784727094817,-0.09135351446846185,-0.09181720260826864,-0.09264617902207117,-0.09351974541053076
"India",-0.02947409709871396,-0.05197948839622546,-0.05007832458702177,-0.05028573983594242,-0.05047310020652729,-0.05162190609890871,-0.05243272499282359,-0.053675079018100647,-0.054570717486956966,-0.056107978915842516,-0.05763102825021571,-0.05945503452676748,-0.06131072047517172,-0.06356501983343366,-0.06608282049678227,-0.0689561088819235,-0.07211533359209321
"Indonesia",-0.16131581686679164,-0.3006404579231958,-0.31961111474809734,-0.3422708847492628,-0.36319284374695116,-0.39107220252031505,-0.42046151698941214,-0.4499264748641152,-0.4783278464834839,-0.5123920095234658,-0.5491622636736748,-0.586004268324225,-0.6232967994115879,-0.664006758442548,-0.7075120784366118,-0.7567322015883948,-0.8105343733276205
"JPNKOR",-0.04988478766804194,-0.08480875614269578,-0.08510777301109496,-0.08540522700039022,-0.08631003677036508,-0.08750357781356355,-0.08911647435357883,-0.09086201001377026,-0.09288402431018028,-0.09508942404711229,-0.09764875362401337,-0.10072875607363141,-0.10443903202952409,-0.10862655062213733,-0.11347008248301371,-0.11874631600181651,-0.12461460355323029
"LACA",-0.0441570730176255,-0.07791322659708166,-0.07923764004235112,-0.08160116905262527,-0.08374650470952538,-0.08690265352732096,-0.08957860997834688,-0.0927628546375403,-0.09549948142053566,-0.09926321284977613,-0.10280834944089712,-0.10708813449158416,-0.11124556196860924,-0.11606729439979091,-0.12090533912954005,-0.12636988895399215,-0.1318690523724242
"MENA",-0.03782643495885418,-0.0665323006723173,-0.06673611339393926,-0.06764287766578558,-0.06826433920966712,-0.06944539072136768,-0.07065266698804695,-0.07223095406463376,-0.07368845894555331,-0.07577201526386412,-0.07787580823045426,-0.08035839382014576,-0.08295982990722539,-0.08575044840843926,-0.0885332076860812,-0.09133359604381885,-0.09395786359367442
